,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,1,Mar 03,0,1,0,0.0
18,1,Mar 04,0,0,0,0.0
19,1,Mar 05,0,0,0,0.0
20,1,Mar 06,0,0,0,0.0
21,1,Mar 07,0,0,0,0.0
22,1,Mar 08,0,0,0,0.0
23,1,Mar 09,0,0,0,0.0
24,1,Mar 10,0,0,0,0.0
25,3,Mar 11,0,2,0,0.0
26,4,Mar 12,0,1,0,0.0
27,4,Mar 13,0,0,0,0.0
28,4,Mar 14,0,0,0,0.0
29,7,Mar 15,0,3,0,0.0
30,7,Mar 16,0,0,0,0.0
31,19,Mar 17,0,12,0,0.0
32,28,Mar 18,0,9,0,0.0
33,28,Mar 19,0,0,0,0.0
34,28,Mar 20,0,0,0,0.0
35,37,Mar 21,0,9,0,0.0
36,37,Mar 22,0,0,0,0.0
37,51,Mar 23,0,14,0,0.0
38,51,Mar 24,0,0,0,0.0
39,51,Mar 25,0,0,0,0.0
40,56,Mar 26,0,5,0,0.0
41,56,Mar 27,0,0,0,0.0
42,56,Mar 28,0,0,0,0.0
43,56,Mar 29,0,0,0,0.0
44,62,Mar 30,0,6,0,0.0
45,68,Mar 31,0,6,0,0.0
46,72,Apr 01,0,4,0,0.0
47,75,Apr 02,0,3,0,0.0
48,75,Apr 03,0,0,0,0.0
49,77,Apr 04,1,2,0,0.012987012987012988
50,77,Apr 05,1,0,0,0.012987012987012988
51,77,Apr 06,1,0,0,0.012987012987012988
52,78,Apr 07,1,1,0,0.01282051282051282
53,78,Apr 08,1,0,0,0.01282051282051282
54,78,Apr 09,1,0,0,0.01282051282051282
55,79,Apr 10,1,1,0,0.012658227848101266
56,79,Apr 11,1,0,0,0.012658227848101266
57,79,Apr 12,1,0,0,0.012658227848101266
58,79,Apr 13,1,0,0,0.012658227848101266
59,79,Apr 14,1,0,0,0.012658227848101266
60,80,Apr 15,1,1,0,0.0125
61,80,Apr 16,1,0,0,0.0125
62,81,Apr 17,1,1,0,0.012345679012345678
63,81,Apr 18,1,0,0,0.012345679012345678
64,81,Apr 19,1,0,0,0.012345679012345678
65,81,Apr 20,1,0,0,0.012345679012345678
66,81,Apr 21,1,0,0,0.012345679012345678
67,81,Apr 22,1,0,0,0.012345679012345678
68,81,Apr 23,1,0,0,0.012345679012345678
69,81,Apr 24,1,0,0,0.012345679012345678
70,81,Apr 25,1,0,0,0.012345679012345678
71,82,Apr 26,1,1,0,0.012195121951219513
72,82,Apr 27,1,0,0,0.012195121951219513
73,82,Apr 28,1,0,0,0.012195121951219513
74,82,Apr 29,1,0,0,0.012195121951219513
75,82,Apr 30,1,0,0,0.012195121951219513
76,82,May 01,1,0,0,0.012195121951219513
77,82,May 02,1,0,0,0.012195121951219513
78,82,May 03,1,0,0,0.012195121951219513
79,82,May 04,1,0,0,0.012195121951219513
80,82,May 05,1,0,0,0.012195121951219513
81,82,May 06,1,0,0,0.012195121951219513
82,82,May 07,1,0,0,0.012195121951219513
