,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,1,Feb 28,0,1,0,0.0
14,1,Feb 29,0,0,0,0.0
15,1,Mar 01,0,0,0,0.0
16,1,Mar 02,0,0,0,0.0
17,1,Mar 03,0,0,0,0.0
18,1,Mar 04,0,0,0,0.0
19,1,Mar 05,0,0,0,0.0
20,1,Mar 06,0,0,0,0.0
21,1,Mar 07,0,0,0,0.0
22,1,Mar 08,0,0,0,0.0
23,1,Mar 09,0,0,0,0.0
24,3,Mar 10,0,2,0,0.0
25,3,Mar 11,0,0,0,0.0
26,3,Mar 12,0,0,0,0.0
27,6,Mar 13,0,3,0,0.0
28,9,Mar 14,0,3,0,0.0
29,14,Mar 15,0,5,0,0.0
30,18,Mar 16,0,4,0,0.0
31,26,Mar 17,0,8,0,0.0
32,34,Mar 18,0,8,0,0.0
33,48,Mar 19,0,14,0,0.0
34,69,Mar 20,1,21,1,0.014492753623188406
35,99,Mar 21,1,30,0,0.010101010101010102
36,143,Mar 22,1,44,0,0.006993006993006993
37,179,Mar 23,1,36,0,0.00558659217877095
38,209,Mar 24,2,30,1,0.009569377990430622
39,274,Mar 25,4,65,2,0.014598540145985401
40,299,Mar 26,4,25,0,0.013377926421404682
41,358,Mar 27,5,59,1,0.013966480446927373
42,394,Mar 28,7,36,2,0.017766497461928935
43,460,Mar 29,7,66,0,0.015217391304347827
44,491,Mar 30,7,31,0,0.014256619144602852
45,537,Mar 31,8,46,1,0.0148975791433892
46,581,Apr 01,8,44,0,0.013769363166953529
47,649,Apr 02,9,68,1,0.01386748844375963
48,696,Apr 03,9,47,0,0.01293103448275862
49,771,Apr 04,11,75,2,0.014267185473411154
50,811,Apr 05,13,40,2,0.016029593094944512
51,843,Apr 06,15,32,2,0.017793594306049824
52,880,Apr 07,15,37,0,0.017045454545454544
53,912,Apr 08,15,32,0,0.01644736842105263
54,955,Apr 09,16,43,1,0.016753926701570682
55,999,Apr 10,22,44,6,0.022022022022022022
56,1026,Apr 11,23,27,1,0.022417153996101363
57,1053,Apr 12,23,27,0,0.02184235517568851
58,1062,Apr 13,24,9,1,0.022598870056497175
59,1070,Apr 14,29,8,5,0.027102803738317756
60,1091,Apr 15,30,21,1,0.027497708524289642
61,1128,Apr 16,32,37,2,0.028368794326241134
62,1149,Apr 17,33,21,1,0.028720626631853787
63,1239,Apr 18,33,90,0,0.026634382566585957
64,1298,Apr 19,35,59,2,0.026964560862865947
65,1326,Apr 20,37,28,2,0.02790346907993967
66,1350,Apr 21,38,24,1,0.028148148148148148
67,1370,Apr 22,38,20,0,0.027737226277372264
68,1398,Apr 23,40,28,2,0.02861230329041488
69,1410,Apr 24,40,12,0,0.028368794326241134
70,1426,Apr 25,41,16,1,0.028751753155680224
71,1438,Apr 26,41,12,0,0.02851182197496523
72,1449,Apr 27,41,11,0,0.028295376121463076
73,1344,Apr 28,44,-105,3,0.03273809523809524
74,1375,Apr 29,45,31,1,0.03272727272727273
75,1385,Apr 30,45,10,0,0.032490974729241874
76,1399,May 01,45,14,0,0.032165832737669764
77,1406,May 02,46,7,1,0.032716927453769556
78,1410,May 03,46,4,0,0.032624113475177303
79,1419,May 04,46,9,0,0.03241719520789288
80,1423,May 05,46,4,0,0.03232607167955025
81,1428,May 06,48,5,2,0.03361344537815126
82,1433,May 07,49,5,1,0.034193998604326585
