,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,1,Feb 29,0,1,0,0.0
15,1,Mar 01,0,0,0,0.0
16,1,Mar 02,0,0,0,0.0
17,1,Mar 03,0,0,0,0.0
18,1,Mar 04,0,0,0,0.0
19,2,Mar 05,0,1,0,0.0
20,3,Mar 06,0,1,0,0.0
21,4,Mar 07,0,1,0,0.0
22,5,Mar 08,0,1,0,0.0
23,5,Mar 09,0,0,0,0.0
24,7,Mar 10,0,2,0,0.0
25,7,Mar 11,0,0,0,0.0
26,26,Mar 12,0,19,0,0.0
27,38,Mar 13,1,12,0,0.02631578947368421
28,51,Mar 14,1,13,0,0.0196078431372549
29,77,Mar 15,1,26,0,0.012987012987012988
30,81,Mar 16,1,4,0,0.012345679012345678
31,140,Mar 17,1,59,0,0.007142857142857143
32,203,Mar 18,2,63,0,0.009852216748768473
33,335,Mar 19,4,132,1,0.011940298507462687
34,484,Mar 20,5,149,0,0.010330578512396695
35,670,Mar 21,8,186,1,0.011940298507462687
36,798,Mar 22,8,128,1,0.010025062656641603
37,875,Mar 23,8,77,1,0.009142857142857144
38,1099,Mar 24,8,224,1,0.007279344858962694
39,1333,Mar 25,8,234,1,0.006001500375093774
40,1453,Mar 26,9,120,1,0.006194081211286993
41,1605,Mar 27,15,152,1,0.009345794392523364
42,1831,Mar 28,18,226,2,0.009830693610049153
43,1950,Mar 29,21,119,1,0.010769230769230769
44,1988,Mar 30,22,38,2,0.011066398390342052
45,2178,Mar 31,23,190,3,0.010560146923783287
46,2319,Apr 01,29,141,3,0.01250539025442001
47,2487,Apr 02,30,168,3,0.012062726176115802
48,2612,Apr 03,31,125,2,0.011868300153139357
49,2729,Apr 04,31,117,2,0.011359472334188348
50,2804,Apr 05,36,75,2,0.012838801711840228
51,2843,Apr 06,41,39,3,0.014421385860007034
52,2970,Apr 07,44,127,3,0.014814814814814815
53,3034,Apr 08,46,64,2,0.015161502966381015
54,3115,Apr 09,52,81,3,0.016693418940609953
55,3223,Apr 10,54,108,3,0.016754576481538937
56,3270,Apr 11,62,47,5,0.018960244648318043
57,3281,Apr 12,66,11,4,0.020115818348064616
58,3292,Apr 13,69,11,4,0.020959902794653706
59,3307,Apr 14,67,15,3,0.020260054429996975
60,3373,Apr 15,69,66,4,0.020456566854432257
61,3444,Apr 16,69,71,2,0.02003484320557491
62,3480,Apr 17,72,36,3,0.020689655172413793
63,3537,Apr 18,72,57,1,0.020356234096692113
64,3550,Apr 19,73,13,1,0.02056338028169014
65,3558,Apr 20,75,8,1,0.021079258010118045
66,3618,Apr 21,78,60,2,0.02155887230514096
67,3654,Apr 22,80,36,1,0.021893814997263273
68,3665,Apr 23,83,11,2,0.022646657571623464
69,3695,Apr 24,85,30,2,0.023004059539918808
70,3711,Apr 25,85,16,2,0.02290487739153867
71,3723,Apr 26,88,12,2,0.0236368520010744
72,3729,Apr 27,88,6,2,0.02359882005899705
73,3741,Apr 28,89,12,1,0.023790430366212242
74,3769,Apr 29,89,28,2,0.023613690634120457
75,3784,Apr 30,90,15,1,0.023784355179704016
76,3802,May 01,92,18,1,0.0241977906365071
77,3812,May 02,92,10,1,0.024134312696747113
78,3824,May 03,96,12,1,0.02510460251046025
79,3828,May 04,96,4,1,0.025078369905956112
80,3840,May 05,96,12,1,0.025
81,3851,May 06,98,11,1,0.02544793560114256
82,3859,May 07,100,8,2,0.025913449080072558
