,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,2,Mar 07,0,2,0,0.0
22,4,Mar 08,0,2,0,0.0
23,6,Mar 09,0,2,0,0.0
24,6,Mar 10,0,0,0,0.0
25,8,Mar 11,0,2,0,0.0
26,8,Mar 12,0,0,0,0.0
27,9,Mar 13,0,1,0,0.0
28,10,Mar 14,0,1,0,0.0
29,13,Mar 15,0,3,0,0.0
30,13,Mar 16,0,0,0,0.0
31,13,Mar 17,0,0,0,0.0
32,13,Mar 18,0,0,0,0.0
33,13,Mar 19,0,0,0,0.0
34,13,Mar 20,0,0,0,0.0
35,13,Mar 21,0,0,0,0.0
36,13,Mar 22,0,0,0,0.0
37,13,Mar 23,0,0,0,0.0
38,13,Mar 24,0,0,0,0.0
39,13,Mar 25,0,0,0,0.0
40,13,Mar 26,0,0,0,0.0
41,16,Mar 27,0,3,0,0.0
42,16,Mar 28,0,0,0,0.0
43,17,Mar 29,0,1,0,0.0
44,17,Mar 30,0,0,0,0.0
45,18,Mar 31,0,1,0,0.0
46,19,Apr 01,0,1,0,0.0
47,19,Apr 02,0,0,0,0.0
48,19,Apr 03,0,0,0,0.0
49,19,Apr 04,0,0,0,0.0
50,19,Apr 05,0,0,0,0.0
51,19,Apr 06,0,0,0,0.0
52,19,Apr 07,0,0,0,0.0
53,19,Apr 08,0,0,0,0.0
54,19,Apr 09,0,0,0,0.0
55,19,Apr 10,0,0,0,0.0
56,19,Apr 11,0,0,0,0.0
57,20,Apr 12,0,1,0,0.0
58,20,Apr 13,0,0,0,0.0
59,20,Apr 14,0,0,0,0.0
60,22,Apr 15,0,2,0,0.0
61,25,Apr 16,0,3,0,0.0
62,29,Apr 17,0,4,0,0.0
63,35,Apr 18,0,6,0,0.0
64,52,Apr 19,0,17,0,0.0
65,69,Apr 20,0,17,0,0.0
66,86,Apr 21,0,17,0,0.0
67,86,Apr 22,0,0,0,0.0
68,108,Apr 23,0,22,0,0.0
69,129,Apr 24,0,21,0,0.0
70,177,Apr 25,0,48,0,0.0
71,214,Apr 26,0,37,0,0.0
72,226,Apr 27,0,12,0,0.0
73,250,Apr 28,0,24,0,0.0
74,278,Apr 29,1,28,0,0.0035971223021582736
75,468,Apr 30,1,190,0,0.002136752136752137
76,491,May 01,1,23,0,0.002036659877800407
77,519,May 02,1,28,0,0.0019267822736030828
78,527,May 03,1,8,0,0.0018975332068311196
79,541,May 04,1,14,0,0.0018484288354898336
80,573,May 05,1,32,0,0.0017452006980802793
81,617,May 06,2,44,1,0.0032414910858995136
82,648,May 07,3,31,1,0.004629629629629629
