,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,0,Mar 19,0,0,0,0.0
34,0,Mar 20,0,0,0,0.0
35,0,Mar 21,0,0,0,0.0
36,0,Mar 22,0,0,0,0.0
37,0,Mar 23,0,0,0,0.0
38,0,Mar 24,0,0,0,0.0
39,2,Mar 25,0,2,0,0.0
40,4,Mar 26,0,2,0,0.0
41,11,Mar 27,0,7,0,0.0
42,18,Mar 28,1,7,0,0.05555555555555555
43,18,Mar 29,1,0,0,0.05555555555555555
44,25,Mar 30,2,7,1,0.08
45,28,Mar 31,2,3,0,0.07142857142857142
46,31,Apr 01,3,3,1,0.0967741935483871
47,36,Apr 02,3,5,0,0.08333333333333333
48,39,Apr 03,3,3,0,0.07692307692307693
49,41,Apr 04,3,2,0,0.07317073170731707
50,45,Apr 05,5,4,2,0.1111111111111111
51,47,Apr 06,5,2,0,0.10638297872340426
52,56,Apr 07,5,9,0,0.08928571428571429
53,59,Apr 08,7,3,2,0.11864406779661017
54,74,Apr 09,7,15,0,0.0945945945945946
55,87,Apr 10,7,13,0,0.08045977011494253
56,87,Apr 11,7,0,0,0.08045977011494253
57,105,Apr 12,9,18,2,0.08571428571428572
58,123,Apr 13,10,18,1,0.08130081300813008
59,144,Apr 14,13,21,3,0.09027777777777778
60,148,Apr 15,13,4,0,0.08783783783783784
61,171,Apr 16,13,23,0,0.07602339181286549
62,171,Apr 17,13,0,0,0.07602339181286549
63,216,Apr 18,13,45,0,0.06018518518518518
64,224,Apr 19,14,8,1,0.0625
65,246,Apr 20,14,22,0,0.056910569105691054
66,258,Apr 21,14,12,0,0.05426356589147287
67,293,Apr 22,17,35,3,0.05802047781569966
68,309,Apr 23,21,16,4,0.06796116504854369
69,325,Apr 24,21,16,0,0.06461538461538462
70,370,Apr 25,21,45,0,0.05675675675675676
71,389,Apr 26,23,19,2,0.05912596401028278
72,408,Apr 27,23,19,0,0.056372549019607844
73,424,Apr 28,24,16,1,0.05660377358490566
74,482,Apr 29,25,58,1,0.05186721991701245
75,490,Apr 30,26,8,1,0.053061224489795916
76,508,May 01,26,18,0,0.051181102362204724
77,544,May 02,26,36,0,0.04779411764705882
78,563,May 03,27,19,1,0.047957371225577264
79,580,May 04,29,17,2,0.05
80,612,May 05,32,32,3,0.05228758169934641
81,631,May 06,32,19,0,0.05071315372424723
82,650,May 07,32,19,0,0.04923076923076923
