,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,3,Mar 07,0,3,0,0.0
22,3,Mar 08,0,0,0,0.0
23,4,Mar 09,0,1,0,0.0
24,5,Mar 10,0,1,0,0.0
25,7,Mar 11,0,2,0,0.0
26,9,Mar 12,0,2,0,0.0
27,12,Mar 13,0,3,0,0.0
28,18,Mar 14,0,6,0,0.0
29,21,Mar 15,0,3,0,0.0
30,30,Mar 16,0,9,0,0.0
31,38,Mar 17,0,8,0,0.0
32,48,Mar 18,0,10,0,0.0
33,53,Mar 19,0,5,0,0.0
34,64,Mar 20,0,11,0,0.0
35,73,Mar 21,0,9,0,0.0
36,90,Mar 22,0,17,0,0.0
37,107,Mar 23,0,17,0,0.0
38,110,Mar 24,0,3,0,0.0
39,129,Mar 25,0,19,0,0.0
40,134,Mar 26,0,5,0,0.0
41,139,Mar 27,0,5,0,0.0
42,149,Mar 28,0,10,0,0.0
43,151,Mar 29,0,2,0,0.0
44,156,Mar 30,0,5,0,0.0
45,169,Mar 31,0,13,0,0.0
46,188,Apr 01,0,19,0,0.0
47,196,Apr 02,0,8,0,0.0
48,202,Apr 03,0,6,0,0.0
49,213,Apr 04,0,11,0,0.0
50,227,Apr 05,0,14,0,0.0
51,241,Apr 06,0,14,0,0.0
52,293,Apr 07,0,52,0,0.0
53,299,Apr 08,1,6,0,0.0033444816053511705
54,337,Apr 09,2,38,1,0.005934718100890208
55,350,Apr 10,2,13,0,0.005714285714285714
56,370,Apr 11,3,20,1,0.008108108108108109
57,378,Apr 12,3,8,0,0.007936507936507936
58,384,Apr 13,3,6,0,0.0078125
59,393,Apr 14,3,9,0,0.007633587786259542
60,399,Apr 15,3,6,0,0.007518796992481203
61,412,Apr 16,3,13,0,0.007281553398058253
62,422,Apr 17,3,10,0,0.0071090047393364926
63,426,Apr 18,3,4,0,0.007042253521126761
64,427,Apr 19,3,1,0,0.00702576112412178
65,431,Apr 20,3,4,0,0.0069605568445475635
66,443,Apr 21,3,12,0,0.006772009029345372
67,444,Apr 22,3,1,0,0.006756756756756757
68,445,Apr 23,3,1,0,0.006741573033707865
69,447,Apr 24,3,2,0,0.006711409395973154
70,448,Apr 25,4,1,1,0.008928571428571428
71,448,Apr 26,4,0,0,0.008928571428571428
72,450,Apr 27,4,2,0,0.008888888888888889
73,458,Apr 28,4,8,0,0.008733624454148471
74,463,Apr 29,4,5,0,0.008639308855291577
75,465,Apr 30,4,2,0,0.008602150537634409
76,467,May 01,4,2,0,0.008565310492505354
77,468,May 02,4,1,0,0.008547008547008548
78,477,May 03,4,9,0,0.008385744234800839
79,480,May 04,4,3,0,0.008333333333333333
80,482,May 05,5,2,1,0.01037344398340249
81,484,May 06,5,2,0,0.010330578512396695
82,486,May 07,5,2,0,0.0102880658436214
