,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,2,Mar 05,0,2,0,0.0
20,2,Mar 06,0,0,0,0.0
21,2,Mar 07,0,0,0,0.0
22,2,Mar 08,0,0,0,0.0
23,2,Mar 09,0,0,0,0.0
24,3,Mar 10,0,1,0,0.0
25,3,Mar 11,0,0,0,0.0
26,3,Mar 12,0,0,0,0.0
27,3,Mar 13,0,0,0,0.0
28,10,Mar 14,0,7,0,0.0
29,10,Mar 15,0,0,0,0.0
30,15,Mar 16,1,5,0,0.06666666666666667
31,15,Mar 17,1,0,0,0.06666666666666667
32,23,Mar 18,1,8,0,0.043478260869565216
33,23,Mar 19,1,0,0,0.043478260869565216
34,32,Mar 20,1,9,0,0.03125
35,37,Mar 21,1,5,0,0.02702702702702703
36,44,Mar 22,1,7,0,0.022727272727272728
37,53,Mar 23,1,9,0,0.018867924528301886
38,57,Mar 24,1,4,0,0.017543859649122806
39,66,Mar 25,1,9,0,0.015151515151515152
40,81,Mar 26,1,15,0,0.012345679012345678
41,93,Mar 27,1,12,0,0.010752688172043012
42,93,Mar 28,1,0,0,0.010752688172043012
43,93,Mar 29,1,0,0,0.010752688172043012
44,93,Mar 30,1,0,0,0.010752688172043012
45,128,Mar 31,3,35,2,0.0234375
46,135,Apr 01,3,7,0,0.022222222222222223
47,138,Apr 02,3,3,0,0.021739130434782608
48,143,Apr 03,3,5,0,0.02097902097902098
49,145,Apr 04,3,2,0,0.020689655172413793
50,149,Apr 05,4,4,1,0.026845637583892617
51,151,Apr 06,4,2,0,0.026490066225165563
52,152,Apr 07,4,1,0,0.02631578947368421
53,154,Apr 08,6,2,2,0.03896103896103896
54,154,Apr 09,6,0,0,0.03896103896103896
55,155,Apr 10,6,1,0,0.03870967741935484
56,155,Apr 11,6,0,0,0.03870967741935484
57,155,Apr 12,6,0,0,0.03870967741935484
58,157,Apr 13,6,2,0,0.03821656050955414
59,157,Apr 14,6,0,0,0.03821656050955414
60,158,Apr 15,8,1,2,0.05063291139240506
61,158,Apr 16,8,0,0,0.05063291139240506
62,158,Apr 17,8,0,0,0.05063291139240506
63,163,Apr 18,12,5,4,0.0736196319018405
64,163,Apr 19,12,0,0,0.0736196319018405
65,163,Apr 20,12,0,0,0.0736196319018405
66,163,Apr 21,14,0,2,0.08588957055214724
67,164,Apr 22,14,1,0,0.08536585365853659
68,164,Apr 23,14,0,0,0.08536585365853659
69,170,Apr 24,14,6,0,0.08235294117647059
70,175,Apr 25,14,5,0,0.08
71,175,Apr 26,14,0,0,0.08
72,175,Apr 27,14,0,0,0.08
73,175,Apr 28,14,0,0,0.08
74,175,Apr 29,14,0,0,0.08
75,178,Apr 30,14,3,0,0.07865168539325842
76,179,May 01,14,1,0,0.0782122905027933
77,179,May 02,14,0,0,0.0782122905027933
78,179,May 03,14,0,0,0.0782122905027933
79,181,May 04,14,2,0,0.07734806629834254
80,181,May 05,14,0,0,0.07734806629834254
81,182,May 06,14,1,0,0.07692307692307693
82,183,May 07,14,1,0,0.07650273224043716
