,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,1,Mar 13,0,1,0,0.0
28,1,Mar 14,0,0,0,0.0
29,1,Mar 15,0,0,0,0.0
30,1,Mar 16,0,0,0,0.0
31,1,Mar 17,0,0,0,0.0
32,2,Mar 18,0,1,0,0.0
33,2,Mar 19,0,0,0,0.0
34,2,Mar 20,0,0,0,0.0
35,2,Mar 21,0,0,0,0.0
36,2,Mar 22,0,0,0,0.0
37,2,Mar 23,0,0,0,0.0
38,2,Mar 24,0,0,0,0.0
39,2,Mar 25,0,0,0,0.0
40,3,Mar 26,0,1,0,0.0
41,3,Mar 27,0,0,0,0.0
42,5,Mar 28,0,2,0,0.0
43,5,Mar 29,0,0,0,0.0
44,6,Mar 30,1,1,0,0.16666666666666666
45,6,Mar 31,1,0,0,0.16666666666666666
46,6,Apr 01,1,0,0,0.16666666666666666
47,6,Apr 02,1,0,0,0.16666666666666666
48,6,Apr 03,1,0,0,0.16666666666666666
49,6,Apr 04,1,0,0,0.16666666666666666
50,6,Apr 05,1,0,0,0.16666666666666666
51,6,Apr 06,1,0,0,0.16666666666666666
52,6,Apr 07,1,0,0,0.16666666666666666
53,6,Apr 08,1,0,0,0.16666666666666666
54,7,Apr 09,1,1,0,0.14285714285714285
55,7,Apr 10,1,0,0,0.14285714285714285
56,7,Apr 11,1,0,0,0.14285714285714285
57,7,Apr 12,1,0,0,0.14285714285714285
58,7,Apr 13,1,0,0,0.14285714285714285
59,7,Apr 14,1,0,0,0.14285714285714285
60,7,Apr 15,1,0,0,0.14285714285714285
61,7,Apr 16,1,0,0,0.14285714285714285
62,7,Apr 17,1,0,0,0.14285714285714285
63,7,Apr 18,1,0,0,0.14285714285714285
64,7,Apr 19,1,0,0,0.14285714285714285
65,7,Apr 20,1,0,0,0.14285714285714285
66,7,Apr 21,1,0,0,0.14285714285714285
67,7,Apr 22,1,0,0,0.14285714285714285
68,7,Apr 23,1,0,0,0.14285714285714285
69,7,Apr 24,1,0,0,0.14285714285714285
70,7,Apr 25,1,0,0,0.14285714285714285
71,7,Apr 26,1,0,0,0.14285714285714285
72,7,Apr 27,1,0,0,0.14285714285714285
73,7,Apr 28,1,0,0,0.14285714285714285
74,8,Apr 29,1,1,0,0.125
75,8,Apr 30,1,0,0,0.125
76,8,May 01,1,0,0,0.125
77,8,May 02,1,0,0,0.125
78,8,May 03,1,0,0,0.125
79,8,May 04,1,0,0,0.125
80,8,May 05,1,0,0,0.125
81,8,May 06,1,0,0,0.125
82,8,May 07,1,0,0,0.125
