,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,3,Mar 18,0,3,0,0.0
33,7,Mar 19,0,4,0,0.0
34,12,Mar 20,0,5,0,0.0
35,14,Mar 21,1,2,0,0.07142857142857142
36,28,Mar 22,2,14,1,0.07142857142857142
37,36,Mar 23,2,8,0,0.05555555555555555
38,42,Mar 24,2,6,0,0.047619047619047616
39,48,Mar 25,2,6,0,0.041666666666666664
40,81,Mar 26,2,33,0,0.024691358024691357
41,94,Mar 27,2,13,0,0.02127659574468085
42,102,Mar 28,2,8,0,0.0196078431372549
43,107,Mar 29,3,5,1,0.028037383177570093
44,128,Mar 30,3,21,0,0.0234375
45,143,Mar 31,5,15,2,0.03496503496503497
46,161,Apr 01,6,18,1,0.037267080745341616
47,169,Apr 02,7,8,1,0.04142011834319527
48,186,Apr 03,7,17,0,0.03763440860215054
49,196,Apr 04,7,10,0,0.03571428571428571
50,227,Apr 05,7,31,0,0.030837004405286344
51,244,Apr 06,7,17,0,0.028688524590163935
52,268,Apr 07,7,24,0,0.026119402985074626
53,273,Apr 08,7,5,0,0.02564102564102564
54,314,Apr 09,7,41,0,0.022292993630573247
55,318,Apr 10,9,4,2,0.02830188679245283
56,319,Apr 11,9,1,0,0.02821316614420063
57,324,Apr 12,9,5,0,0.027777777777777776
58,324,Apr 13,9,0,0,0.027777777777777776
59,324,Apr 14,9,0,0,0.027777777777777776
60,324,Apr 15,9,0,0,0.027777777777777776
61,324,Apr 16,9,0,0,0.027777777777777776
62,324,Apr 17,9,0,0,0.027777777777777776
63,325,Apr 18,9,1,0,0.027692307692307693
64,328,Apr 19,9,3,0,0.027439024390243903
65,328,Apr 20,9,0,0,0.027439024390243903
66,328,Apr 21,9,0,0,0.027439024390243903
67,329,Apr 22,9,1,0,0.02735562310030395
68,331,Apr 23,9,2,0,0.027190332326283987
69,331,Apr 24,9,0,0,0.027190332326283987
70,331,Apr 25,9,0,0,0.027190332326283987
71,332,Apr 26,9,1,0,0.02710843373493976
72,332,Apr 27,10,0,1,0.030120481927710843
73,332,Apr 28,10,0,0,0.030120481927710843
74,332,Apr 29,10,0,0,0.030120481927710843
75,332,Apr 30,10,0,0,0.030120481927710843
76,332,May 01,10,0,0,0.030120481927710843
77,332,May 02,10,0,0,0.030120481927710843
78,332,May 03,10,0,0,0.030120481927710843
79,332,May 04,10,0,0,0.030120481927710843
80,332,May 05,10,0,0,0.030120481927710843
81,332,May 06,10,0,0,0.030120481927710843
82,332,May 07,10,0,0,0.030120481927710843
