,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,1,Mar 14,0,1,0,0.0
29,1,Mar 15,0,0,0,0.0
30,2,Mar 16,0,1,0,0.0
31,3,Mar 17,0,1,0,0.0
32,3,Mar 18,0,0,0,0.0
33,4,Mar 19,0,1,0,0.0
34,7,Mar 20,0,3,0,0.0
35,11,Mar 21,0,4,0,0.0
36,11,Mar 22,0,0,0,0.0
37,24,Mar 23,0,13,0,0.0
38,36,Mar 24,0,12,0,0.0
39,36,Mar 25,0,0,0,0.0
40,36,Mar 26,0,0,0,0.0
41,50,Mar 27,0,14,0,0.0
42,63,Mar 28,0,13,0,0.0
43,63,Mar 29,0,0,0,0.0
44,82,Mar 30,0,19,0,0.0
45,94,Mar 31,1,12,0,0.010638297872340425
46,101,Apr 01,1,7,0,0.009900990099009901
47,116,Apr 02,1,15,0,0.008620689655172414
48,128,Apr 03,2,12,1,0.015625
49,134,Apr 04,2,6,0,0.014925373134328358
50,147,Apr 05,2,13,0,0.013605442176870748
51,164,Apr 06,2,17,0,0.012195121951219513
52,171,Apr 07,2,7,0,0.011695906432748537
53,184,Apr 08,2,13,0,0.010869565217391304
54,184,Apr 09,2,0,0,0.010869565217391304
55,191,Apr 10,2,7,0,0.010471204188481676
56,196,Apr 11,3,5,1,0.015306122448979591
57,196,Apr 12,3,0,0,0.015306122448979591
58,207,Apr 13,3,11,0,0.014492753623188406
59,217,Apr 14,3,10,0,0.013824884792626729
60,217,Apr 15,3,0,0,0.013824884792626729
61,233,Apr 16,3,16,0,0.012875536480686695
62,245,Apr 17,4,12,1,0.0163265306122449
63,254,Apr 18,4,9,0,0.015748031496062992
64,271,Apr 19,4,17,0,0.014760147601476014
65,271,Apr 20,4,0,0,0.014760147601476014
66,311,Apr 21,4,40,0,0.012861736334405145
67,326,Apr 22,4,15,0,0.012269938650306749
68,326,Apr 23,4,0,0,0.012269938650306749
69,354,Apr 24,4,28,0,0.011299435028248588
70,380,Apr 25,4,26,0,0.010526315789473684
71,401,Apr 26,4,21,0,0.00997506234413965
72,401,Apr 27,4,0,0,0.00997506234413965
73,460,Apr 28,4,59,0,0.008695652173913044
74,460,Apr 29,4,0,0,0.008695652173913044
75,539,Apr 30,4,79,0,0.0074211502782931356
76,539,May 01,4,0,0,0.0074211502782931356
77,596,May 02,6,57,2,0.010067114093959731
78,650,May 03,6,54,0,0.009230769230769232
79,686,May 04,6,36,0,0.008746355685131196
80,739,May 05,9,53,3,0.012178619756427604
81,739,May 06,9,0,0,0.012178619756427604
82,854,May 07,10,115,1,0.0117096018735363
