,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,2,Feb 28,0,2,0,0.0
14,4,Feb 29,0,2,0,0.0
15,5,Mar 01,0,1,0,0.0
16,6,Mar 02,0,1,0,0.0
17,6,Mar 03,0,0,0,0.0
18,6,Mar 04,0,0,0,0.0
19,6,Mar 05,0,0,0,0.0
20,6,Mar 06,0,0,0,0.0
21,6,Mar 07,0,0,0,0.0
22,7,Mar 08,0,1,0,0.0
23,7,Mar 09,0,0,0,0.0
24,7,Mar 10,0,0,0,0.0
25,11,Mar 11,0,4,0,0.0
26,12,Mar 12,0,1,0,0.0
27,15,Mar 13,0,3,0,0.0
28,26,Mar 14,0,11,0,0.0
29,43,Mar 15,0,17,0,0.0
30,53,Mar 16,0,10,0,0.0
31,82,Mar 17,0,29,0,0.0
32,93,Mar 18,0,11,0,0.0
33,118,Mar 19,1,25,1,0.00847457627118644
34,164,Mar 20,1,46,0,0.006097560975609756
35,203,Mar 21,2,39,1,0.009852216748768473
36,251,Mar 22,2,48,0,0.00796812749003984
37,316,Mar 23,3,65,1,0.00949367088607595
38,367,Mar 24,4,51,1,0.010899182561307902
39,405,Mar 25,5,38,1,0.012345679012345678
40,475,Mar 26,6,70,1,0.01263157894736842
41,585,Mar 27,8,110,2,0.013675213675213675
42,717,Mar 28,12,132,4,0.016736401673640166
43,848,Mar 29,16,131,4,0.018867924528301886
44,993,Mar 30,20,145,4,0.02014098690835851
45,1094,Mar 31,28,101,8,0.025594149908592323
46,1215,Apr 01,29,121,1,0.023868312757201648
47,1378,Apr 02,37,163,8,0.026850507982583455
48,1510,Apr 03,50,132,13,0.033112582781456956
49,1688,Apr 04,60,178,10,0.035545023696682464
50,1890,Apr 05,79,202,19,0.0417989417989418
51,2143,Apr 06,94,253,15,0.04386374241717219
52,2439,Apr 07,125,296,31,0.05125051250512505
53,2785,Apr 08,141,346,16,0.05062836624775584
54,3181,Apr 09,174,396,33,0.05469977994341402
55,3441,Apr 10,194,260,20,0.056378959604766056
56,3844,Apr 11,233,403,39,0.06061394380853278
57,4219,Apr 12,273,375,40,0.06470727660583077
58,4661,Apr 13,296,442,23,0.06350568547521991
59,5014,Apr 14,332,353,36,0.06621459912245713
60,5399,Apr 15,406,385,74,0.07519911094647157
61,5847,Apr 16,449,448,43,0.07679151701727381
62,6297,Apr 17,486,450,37,0.0771796093377799
63,6875,Apr 18,546,578,60,0.07941818181818182
64,7497,Apr 19,650,622,104,0.08670134720554888
65,8261,Apr 20,686,764,36,0.08304079409272486
66,8772,Apr 21,712,511,26,0.08116735066119471
67,9501,Apr 22,857,729,145,0.09020103147037153
68,10544,Apr 23,970,1043,113,0.09199544764795144
69,11633,Apr 24,1069,1089,99,0.09189375053726467
70,12872,Apr 25,1221,1239,152,0.09485705407085146
71,13842,Apr 26,1305,970,84,0.09427828348504551
72,14677,Apr 27,1351,835,46,0.0920487838114056
73,15529,Apr 28,1434,852,83,0.09234335758902698
74,16752,Apr 29,1569,1223,135,0.09366045845272206
75,17799,Apr 30,1732,1047,163,0.09730883757514468
76,19224,May 01,1859,1425,127,0.09670203911776945
77,20739,May 02,1972,1515,113,0.09508655190703505
78,22088,May 03,2061,1349,89,0.09330858384643245
79,23471,May 04,2154,1383,93,0.0917728260406459
80,24905,May 05,2271,1434,117,0.09118650873318611
81,26025,May 06,2507,1120,236,0.09633045148895293
82,27634,May 07,2704,1609,197,0.09785047405370197
