,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,1,Feb 28,0,1,0,0.0
14,1,Feb 29,0,0,0,0.0
15,1,Mar 01,0,0,0,0.0
16,1,Mar 02,0,0,0,0.0
17,1,Mar 03,0,0,0,0.0
18,1,Mar 04,0,0,0,0.0
19,1,Mar 05,0,0,0,0.0
20,1,Mar 06,0,0,0,0.0
21,1,Mar 07,0,0,0,0.0
22,1,Mar 08,0,0,0,0.0
23,1,Mar 09,0,0,0,0.0
24,1,Mar 10,0,0,0,0.0
25,1,Mar 11,0,0,0,0.0
26,2,Mar 12,0,1,0,0.0
27,2,Mar 13,0,0,0,0.0
28,2,Mar 14,0,0,0,0.0
29,2,Mar 15,0,0,0,0.0
30,9,Mar 16,0,7,0,0.0
31,9,Mar 17,0,0,0,0.0
32,9,Mar 18,0,0,0,0.0
33,10,Mar 19,0,1,0,0.0
34,11,Mar 20,0,1,0,0.0
35,18,Mar 21,0,7,0,0.0
36,23,Mar 22,0,5,0,0.0
37,23,Mar 23,0,0,0,0.0
38,23,Mar 24,0,0,0,0.0
39,31,Mar 25,0,8,0,0.0
40,33,Mar 26,0,2,0,0.0
41,42,Mar 27,0,9,0,0.0
42,43,Mar 28,1,1,1,0.023255813953488372
43,46,Mar 29,1,3,0,0.021739130434782608
44,49,Mar 30,1,3,0,0.02040816326530612
45,52,Mar 31,1,3,0,0.019230769230769232
46,55,Apr 01,1,3,0,0.01818181818181818
47,60,Apr 02,1,5,0,0.016666666666666666
48,64,Apr 03,1,4,0,0.015625
49,66,Apr 04,1,2,0,0.015151515151515152
50,73,Apr 05,1,7,0,0.0136986301369863
51,77,Apr 06,1,4,0,0.012987012987012988
52,79,Apr 07,1,2,0,0.012658227848101266
53,81,Apr 08,1,2,0,0.012345679012345678
54,84,Apr 09,1,3,0,0.011904761904761904
55,90,Apr 10,1,6,0,0.011111111111111112
56,92,Apr 11,1,2,0,0.010869565217391304
57,93,Apr 12,1,1,0,0.010752688172043012
58,93,Apr 13,1,0,0,0.010752688172043012
59,93,Apr 14,1,0,0,0.010752688172043012
60,93,Apr 15,3,0,2,0.03225806451612903
61,93,Apr 16,3,0,0,0.03225806451612903
62,94,Apr 17,3,1,0,0.031914893617021274
63,94,Apr 18,3,0,0,0.031914893617021274
64,94,Apr 19,3,0,0,0.031914893617021274
65,94,Apr 20,3,0,0,0.031914893617021274
66,94,Apr 21,3,0,0,0.031914893617021274
67,94,Apr 22,3,0,0,0.031914893617021274
68,94,Apr 23,4,0,1,0.0425531914893617
69,94,Apr 24,4,0,0,0.0425531914893617
70,94,Apr 25,4,0,0,0.0425531914893617
71,94,Apr 26,4,0,0,0.0425531914893617
72,95,Apr 27,4,1,0,0.042105263157894736
73,95,Apr 28,4,0,0,0.042105263157894736
74,95,Apr 29,4,0,0,0.042105263157894736
75,95,Apr 30,4,0,0,0.042105263157894736
76,95,May 01,4,0,0,0.042105263157894736
77,95,May 02,4,0,0,0.042105263157894736
78,95,May 03,4,0,0,0.042105263157894736
79,95,May 04,4,0,0,0.042105263157894736
80,95,May 05,4,0,0,0.042105263157894736
81,95,May 06,4,0,0,0.042105263157894736
82,95,May 07,4,0,0,0.042105263157894736
