,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,1,Mar 10,0,1,0,0.0
25,1,Mar 11,0,0,0,0.0
26,1,Mar 12,0,0,0,0.0
27,1,Mar 13,0,0,0,0.0
28,1,Mar 14,0,0,0,0.0
29,1,Mar 15,0,0,0,0.0
30,4,Mar 16,0,3,0,0.0
31,5,Mar 17,0,1,0,0.0
32,6,Mar 18,0,1,0,0.0
33,6,Mar 19,0,0,0,0.0
34,6,Mar 20,0,0,0,0.0
35,10,Mar 21,0,4,0,0.0
36,10,Mar 22,0,0,0,0.0
37,10,Mar 23,0,0,0,0.0
38,10,Mar 24,0,0,0,0.0
39,10,Mar 25,0,0,0,0.0
40,11,Mar 26,0,1,0,0.0
41,11,Mar 27,0,0,0,0.0
42,12,Mar 28,0,1,0,0.0
43,12,Mar 29,0,0,0,0.0
44,12,Mar 30,0,0,0,0.0
45,12,Mar 31,0,0,0,0.0
46,14,Apr 01,0,2,0,0.0
47,14,Apr 02,0,0,0,0.0
48,14,Apr 03,0,0,0,0.0
49,14,Apr 04,0,0,0,0.0
50,14,Apr 05,0,0,0,0.0
51,15,Apr 06,0,1,0,0.0
52,15,Apr 07,0,0,0,0.0
53,16,Apr 08,0,1,0,0.0
54,16,Apr 09,0,0,0,0.0
55,16,Apr 10,0,0,0,0.0
56,16,Apr 11,0,0,0,0.0
57,16,Apr 12,0,0,0,0.0
58,17,Apr 13,0,1,0,0.0
59,30,Apr 14,0,13,0,0.0
60,30,Apr 15,0,0,0,0.0
61,31,Apr 16,0,1,0,0.0
62,31,Apr 17,0,0,0,0.0
63,31,Apr 18,0,0,0,0.0
64,32,Apr 19,0,1,0,0.0
65,33,Apr 20,0,1,0,0.0
66,34,Apr 21,0,1,0,0.0
67,35,Apr 22,0,1,0,0.0
68,35,Apr 23,0,0,0,0.0
69,36,Apr 24,0,1,0,0.0
70,37,Apr 25,0,1,0,0.0
71,38,Apr 26,0,1,0,0.0
72,38,Apr 27,0,0,0,0.0
73,38,Apr 28,0,0,0,0.0
74,38,Apr 29,0,0,0,0.0
75,38,Apr 30,0,0,0,0.0
76,38,May 01,0,0,0,0.0
77,39,May 02,0,1,0,0.0
78,39,May 03,0,0,0,0.0
79,40,May 04,0,1,0,0.0
80,41,May 05,0,1,0,0.0
81,41,May 06,0,0,0,0.0
82,41,May 07,0,0,0,0.0
