,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,0,Mar 19,0,0,0,0.0
34,0,Mar 20,0,0,0,0.0
35,0,Mar 21,0,0,0,0.0
36,0,Mar 22,0,0,0,0.0
37,2,Mar 23,0,2,0,0.0
38,3,Mar 24,0,1,0,0.0
39,3,Mar 25,0,0,0,0.0
40,5,Mar 26,0,2,0,0.0
41,8,Mar 27,0,3,0,0.0
42,8,Mar 28,0,0,0,0.0
43,10,Mar 29,0,2,0,0.0
44,14,Mar 30,0,4,0,0.0
45,15,Mar 31,1,1,0,0.06666666666666667
46,16,Apr 01,1,1,0,0.0625
47,20,Apr 02,1,4,0,0.05
48,20,Apr 03,1,0,0,0.05
49,21,Apr 04,1,1,0,0.047619047619047616
50,21,Apr 05,1,0,0,0.047619047619047616
51,22,Apr 06,1,1,0,0.045454545454545456
52,22,Apr 07,1,0,0,0.045454545454545456
53,22,Apr 08,3,0,2,0.13636363636363635
54,23,Apr 09,3,1,0,0.13043478260869565
55,27,Apr 10,3,4,0,0.1111111111111111
56,38,Apr 11,3,11,0,0.07894736842105263
57,41,Apr 12,4,3,1,0.0975609756097561
58,62,Apr 13,4,21,0,0.06451612903225806
59,63,Apr 14,4,1,0,0.06349206349206349
60,74,Apr 15,4,11,0,0.05405405405405406
61,85,Apr 16,4,11,0,0.047058823529411764
62,88,Apr 17,4,3,0,0.045454545454545456
63,98,Apr 18,5,10,1,0.05102040816326531
64,111,Apr 19,5,13,0,0.04504504504504504
65,119,Apr 20,5,8,0,0.04201680672268908
66,121,Apr 21,5,2,0,0.04132231404958678
67,123,Apr 22,5,2,0,0.04065040650406504
68,132,Apr 23,5,9,0,0.03787878787878788
69,144,Apr 24,5,12,0,0.034722222222222224
70,144,Apr 25,5,0,0,0.034722222222222224
71,146,Apr 26,5,2,0,0.03424657534246575
72,146,Apr 27,5,0,0,0.03424657534246575
73,150,Apr 28,5,4,0,0.03333333333333333
74,150,Apr 29,6,0,1,0.04
75,150,Apr 30,6,0,0,0.04
76,151,May 01,6,1,0,0.039735099337748346
77,151,May 02,6,0,0,0.039735099337748346
78,155,May 03,6,4,0,0.03870967741935484
79,161,May 04,6,6,0,0.037267080745341616
80,161,May 05,6,0,0,0.037267080745341616
81,161,May 06,6,0,0,0.037267080745341616
82,176,May 07,6,15,0,0.03409090909090909
