,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,1,Feb 28,0,1,0,0.0
14,1,Feb 29,0,0,0,0.0
15,1,Mar 01,0,0,0,0.0
16,1,Mar 02,0,0,0,0.0
17,2,Mar 03,0,1,0,0.0
18,3,Mar 04,0,1,0,0.0
19,4,Mar 05,0,1,0,0.0
20,4,Mar 06,0,0,0,0.0
21,5,Mar 07,0,1,0,0.0
22,5,Mar 08,0,0,0,0.0
23,5,Mar 09,0,0,0,0.0
24,5,Mar 10,0,0,0,0.0
25,5,Mar 11,0,0,0,0.0
26,5,Mar 12,0,0,0,0.0
27,6,Mar 13,0,1,0,0.0
28,8,Mar 14,0,2,0,0.0
29,8,Mar 15,0,0,0,0.0
30,8,Mar 16,0,0,0,0.0
31,20,Mar 17,0,12,0,0.0
32,20,Mar 18,0,0,0,0.0
33,28,Mar 19,0,8,0,0.0
34,52,Mar 20,0,24,0,0.0
35,52,Mar 21,0,0,0,0.0
36,102,Mar 22,0,50,0,0.0
37,102,Mar 23,0,0,0,0.0
38,205,Mar 24,0,103,0,0.0
39,283,Mar 25,0,78,0,0.0
40,368,Mar 26,0,85,0,0.0
41,368,Mar 27,0,0,0,0.0
42,514,Mar 28,1,146,1,0.0019455252918287938
43,514,Mar 29,1,0,0,0.0019455252918287938
44,589,Mar 30,1,75,0,0.001697792869269949
45,647,Mar 31,1,58,0,0.0015455950540958269
46,708,Apr 01,1,61,0,0.0014124293785310734
47,797,Apr 02,1,89,0,0.0012547051442910915
48,868,Apr 03,1,71,0,0.001152073732718894
49,950,Apr 04,1,82,0,0.0010526315789473684
50,1039,Apr 05,1,89,0,0.0009624639076034649
51,1106,Apr 06,1,67,0,0.0009041591320072332
52,1160,Apr 07,1,54,0,0.0008620689655172414
53,1210,Apr 08,1,50,0,0.0008264462809917355
54,1239,Apr 09,1,29,0,0.0008071025020177562
55,1283,Apr 10,2,44,1,0.001558846453624318
56,1312,Apr 11,4,29,2,0.003048780487804878
57,1330,Apr 12,4,18,0,0.0030075187969924814
58,1349,Apr 13,5,19,1,0.0037064492216456633
59,1366,Apr 14,9,17,4,0.006588579795021962
60,1386,Apr 15,9,20,0,0.006493506493506494
61,1401,Apr 16,9,15,0,0.006423982869379015
62,1409,Apr 17,11,8,2,0.007806955287437899
63,1422,Apr 18,11,13,0,0.007735583684950774
64,1431,Apr 19,12,9,1,0.008385744234800839
65,1440,Apr 20,12,9,0,0.008333333333333333
66,1445,Apr 21,13,5,1,0.008996539792387544
67,1448,Apr 22,14,3,1,0.009668508287292817
68,1451,Apr 23,16,3,2,0.011026878015161957
69,1456,Apr 24,17,5,1,0.011675824175824176
70,1461,Apr 25,18,5,1,0.012320328542094456
71,1469,Apr 26,18,8,0,0.012253233492171545
72,1469,Apr 27,19,0,1,0.012933968686181076
73,1472,Apr 28,19,3,0,0.012907608695652174
74,1474,Apr 29,19,2,0,0.012890094979647219
75,1476,Apr 30,19,2,0,0.012872628726287264
76,1479,May 01,19,3,0,0.012846517917511832
77,1485,May 02,20,6,1,0.013468013468013467
78,1487,May 03,20,2,0,0.013449899125756557
79,1487,May 04,20,0,0,0.013449899125756557
80,1486,May 05,20,-1,0,0.013458950201884253
81,1488,May 06,21,2,1,0.014112903225806451
82,1489,May 07,21,1,0,0.014103425117528543
