,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,1,Mar 19,0,1,0,0.0
34,2,Mar 20,0,1,0,0.0
35,2,Mar 21,0,0,0,0.0
36,2,Mar 22,0,0,0,0.0
37,2,Mar 23,0,0,0,0.0
38,2,Mar 24,0,0,0,0.0
39,2,Mar 25,0,0,0,0.0
40,2,Mar 26,0,0,0,0.0
41,4,Mar 27,1,2,0,0.25
42,4,Mar 28,1,0,0,0.25
43,4,Mar 29,1,0,0,0.25
44,4,Mar 30,1,0,0,0.25
45,5,Mar 31,1,1,0,0.2
46,5,Apr 01,1,0,0,0.2
47,5,Apr 02,1,0,0,0.2
48,5,Apr 03,1,0,0,0.2
49,5,Apr 04,1,0,0,0.2
50,6,Apr 05,1,1,0,0.16666666666666666
51,6,Apr 06,1,0,0,0.16666666666666666
52,6,Apr 07,1,0,0,0.16666666666666666
53,6,Apr 08,1,0,0,0.16666666666666666
54,7,Apr 09,1,1,0,0.14285714285714285
55,7,Apr 10,1,0,0,0.14285714285714285
56,9,Apr 11,1,2,0,0.1111111111111111
57,9,Apr 12,1,0,0,0.1111111111111111
58,9,Apr 13,1,0,0,0.1111111111111111
59,9,Apr 14,1,0,0,0.1111111111111111
60,9,Apr 15,1,0,0,0.1111111111111111
61,9,Apr 16,1,0,0,0.1111111111111111
62,9,Apr 17,1,0,0,0.1111111111111111
63,9,Apr 18,2,0,1,0.2222222222222222
64,10,Apr 19,2,1,0,0.2
65,10,Apr 20,2,0,0,0.2
66,10,Apr 21,2,0,0,0.2
67,10,Apr 22,2,0,0,0.2
68,11,Apr 23,3,1,1,0.2727272727272727
69,11,Apr 24,3,0,0,0.2727272727272727
70,12,Apr 25,3,1,0,0.25
71,13,Apr 26,3,1,0,0.23076923076923078
72,13,Apr 27,3,0,0,0.23076923076923078
73,13,Apr 28,3,0,0,0.23076923076923078
74,13,Apr 29,3,0,0,0.23076923076923078
75,14,Apr 30,3,1,0,0.21428571428571427
76,14,May 01,3,0,0,0.21428571428571427
77,14,May 02,3,0,0,0.21428571428571427
78,14,May 03,3,0,0,0.21428571428571427
79,15,May 04,5,1,2,0.3333333333333333
80,16,May 05,5,1,0,0.3125
81,16,May 06,5,0,0,0.3125
82,16,May 07,5,0,0,0.3125
