,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,1,Mar 19,0,1,0,0.0
34,1,Mar 20,0,0,0,0.0
35,1,Mar 21,0,0,0,0.0
36,2,Mar 22,0,1,0,0.0
37,3,Mar 23,0,1,0,0.0
38,3,Mar 24,0,0,0,0.0
39,7,Mar 25,1,4,0,0.14285714285714285
40,10,Mar 26,1,3,0,0.1
41,10,Mar 27,1,0,0,0.1
42,10,Mar 28,1,0,0,0.1
43,18,Mar 29,1,8,0,0.05555555555555555
44,27,Mar 30,3,9,2,0.1111111111111111
45,34,Mar 31,3,7,0,0.08823529411764706
46,74,Apr 01,5,40,2,0.06756756756756757
47,98,Apr 02,5,24,0,0.05102040816326531
48,120,Apr 03,5,22,0,0.041666666666666664
49,144,Apr 04,8,24,3,0.05555555555555555
50,184,Apr 05,10,40,2,0.05434782608695652
51,253,Apr 06,10,69,0,0.039525691699604744
52,278,Apr 07,11,25,1,0.039568345323741004
53,342,Apr 08,11,64,0,0.03216374269005848
54,410,Apr 09,11,68,0,0.026829268292682926
55,438,Apr 10,11,28,0,0.02511415525114155
56,491,Apr 11,11,53,0,0.02240325865580448
57,529,Apr 12,12,38,1,0.022684310018903593
58,548,Apr 13,13,19,1,0.023722627737226276
59,570,Apr 14,14,22,1,0.02456140350877193
60,584,Apr 15,14,14,0,0.023972602739726026
61,584,Apr 16,14,0,0,0.023972602739726026
62,627,Apr 17,18,43,4,0.028708133971291867
63,639,Apr 18,19,12,1,0.0297339593114241
64,648,Apr 19,20,9,1,0.030864197530864196
65,648,Apr 20,20,0,0,0.030864197530864196
66,657,Apr 21,20,9,0,0.030441400304414
67,662,Apr 22,22,5,2,0.03323262839879154
68,671,Apr 23,24,9,2,0.03576751117734724
69,681,Apr 24,24,10,0,0.03524229074889868
70,684,Apr 25,27,3,3,0.039473684210526314
71,696,Apr 26,29,12,2,0.041666666666666664
72,701,Apr 27,29,5,0,0.04136947218259629
73,709,Apr 28,31,8,2,0.04372355430183357
74,713,Apr 29,32,4,1,0.04488078541374474
75,719,Apr 30,32,6,0,0.04450625869262865
76,728,May 01,33,9,1,0.04532967032967033
77,736,May 02,35,8,2,0.04755434782608696
78,750,May 03,36,14,1,0.048
79,755,May 04,37,5,1,0.04900662251655629
80,763,May 05,38,8,1,0.04980340760157274
81,770,May 06,38,7,0,0.04935064935064935
82,781,May 07,42,11,4,0.05377720870678617
