,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,1,Feb 26,0,1,0,0.0
12,1,Feb 27,0,0,0,0.0
13,1,Feb 28,0,0,0,0.0
14,1,Feb 29,0,0,0,0.0
15,1,Mar 01,0,0,0,0.0
16,1,Mar 02,0,0,0,0.0
17,1,Mar 03,0,0,0,0.0
18,1,Mar 04,0,0,0,0.0
19,1,Mar 05,0,0,0,0.0
20,3,Mar 06,0,2,0,0.0
21,3,Mar 07,0,0,0,0.0
22,3,Mar 08,0,0,0,0.0
23,5,Mar 09,0,2,0,0.0
24,7,Mar 10,0,2,0,0.0
25,9,Mar 11,0,2,0,0.0
26,9,Mar 12,0,0,0,0.0
27,14,Mar 13,0,5,0,0.0
28,19,Mar 14,0,5,0,0.0
29,19,Mar 15,0,0,0,0.0
30,24,Mar 16,0,5,0,0.0
31,31,Mar 17,0,7,0,0.0
32,43,Mar 18,0,12,0,0.0
33,50,Mar 19,0,7,0,0.0
34,76,Mar 20,0,26,0,0.0
35,85,Mar 21,0,9,0,0.0
36,115,Mar 22,1,30,1,0.008695652173913044
37,136,Mar 23,2,21,1,0.014705882352941176
38,148,Mar 24,2,12,0,0.013513513513513514
39,177,Mar 25,3,29,1,0.01694915254237288
40,201,Mar 26,3,24,0,0.014925373134328358
41,219,Mar 27,3,18,0,0.0136986301369863
42,241,Mar 28,4,22,1,0.016597510373443983
43,259,Mar 29,6,18,2,0.023166023166023165
44,285,Mar 30,7,26,1,0.02456140350877193
45,329,Mar 31,9,44,2,0.02735562310030395
46,354,Apr 01,11,25,2,0.031073446327683617
47,384,Apr 02,11,30,0,0.028645833333333332
48,430,Apr 03,12,46,1,0.027906976744186046
49,483,Apr 04,17,53,5,0.035196687370600416
50,555,Apr 05,18,72,1,0.032432432432432434
51,570,Apr 06,23,15,5,0.04035087719298246
52,599,Apr 07,26,29,3,0.04340567612687813
53,617,Apr 08,29,18,3,0.04700162074554295
54,663,Apr 09,30,46,1,0.04524886877828054
55,711,Apr 10,32,48,2,0.0450070323488045
56,760,Apr 11,34,49,2,0.04473684210526316
57,828,Apr 12,34,68,0,0.04106280193236715
58,854,Apr 13,38,26,4,0.04449648711943794
59,908,Apr 14,44,54,6,0.048458149779735685
60,974,Apr 15,45,66,1,0.04620123203285421
61,1081,Apr 16,46,107,1,0.0425531914893617
62,1117,Apr 17,49,36,3,0.043867502238137866
63,1170,Apr 18,49,53,0,0.04188034188034188
64,1207,Apr 19,51,37,2,0.04225352112676056
65,1225,Apr 20,54,18,3,0.044081632653061226
66,1231,Apr 21,55,6,1,0.04467912266450041
67,1259,Apr 22,56,28,1,0.04447974583002383
68,1300,Apr 23,56,41,0,0.043076923076923075
69,1326,Apr 24,57,26,1,0.042986425339366516
70,1367,Apr 25,59,41,2,0.04316020482809071
71,1386,Apr 26,61,19,2,0.04401154401154401
72,1399,Apr 27,65,13,4,0.04646175839885633
73,1421,Apr 28,71,22,6,0.04996481351161154
74,1442,Apr 29,73,21,2,0.05062413314840499
75,1465,Apr 30,77,23,4,0.05255972696245734
76,1494,May 01,81,29,4,0.05421686746987952
77,1506,May 02,82,12,1,0.05444887118193891
78,1511,May 03,84,5,2,0.05559232296492389
79,1518,May 04,85,7,1,0.055994729907773384
80,1526,May 05,86,8,1,0.0563564875491481
81,1539,May 06,88,13,2,0.057179987004548405
82,1572,May 07,89,33,1,0.056615776081424936
