,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,1,Mar 10,0,1,0,0.0
25,14,Mar 11,1,13,1,0.07142857142857142
26,14,Mar 12,1,0,0,0.07142857142857142
27,27,Mar 13,1,13,0,0.037037037037037035
28,43,Mar 14,1,16,0,0.023255813953488372
29,55,Mar 15,1,12,0,0.01818181818181818
30,69,Mar 16,1,14,0,0.014492753623188406
31,69,Mar 17,1,0,0,0.014492753623188406
32,109,Mar 18,1,40,0,0.009174311926605505
33,137,Mar 19,1,28,0,0.0072992700729927005
34,200,Mar 20,1,63,0,0.005
35,245,Mar 21,3,45,2,0.012244897959183673
36,313,Mar 22,3,68,0,0.009584664536741214
37,345,Mar 23,6,32,3,0.017391304347826087
38,443,Mar 24,6,98,0,0.013544018058690745
39,558,Mar 25,8,115,2,0.014336917562724014
40,674,Mar 26,9,116,1,0.013353115727002967
41,786,Mar 27,14,112,5,0.017811704834605598
42,901,Mar 28,17,115,3,0.018867924528301886
43,989,Mar 29,24,88,7,0.024266936299292215
44,1075,Mar 30,27,86,3,0.025116279069767444
45,1181,Mar 31,30,106,3,0.02540220152413209
46,1317,Apr 01,32,136,2,0.024297646165527716
47,1475,Apr 02,37,158,5,0.025084745762711864
48,1673,Apr 03,41,198,4,0.024506873879258817
49,1801,Apr 04,46,128,5,0.025541365907828985
50,1801,Apr 05,46,0,0,0.025541365907828985
51,2100,Apr 06,55,299,9,0.02619047619047619
52,2100,Apr 07,55,0,0,0.02619047619047619
53,2528,Apr 08,63,428,8,0.024920886075949368
54,2752,Apr 09,66,224,3,0.023982558139534885
55,2974,Apr 10,74,222,8,0.02488231338264963
56,3234,Apr 11,79,260,5,0.02442795299938157
57,3400,Apr 12,87,166,8,0.025588235294117648
58,3472,Apr 13,94,72,7,0.02707373271889401
59,3574,Apr 14,95,102,1,0.026580861779518745
60,3751,Apr 15,103,177,8,0.027459344174886696
61,3751,Apr 16,103,0,0,0.027459344174886696
62,4016,Apr 17,109,265,6,0.027141434262948207
63,4210,Apr 18,116,194,7,0.027553444180522565
64,4273,Apr 19,120,63,4,0.02808331383103206
65,4467,Apr 20,126,194,6,0.028206850235057087
66,4658,Apr 21,136,191,10,0.029197080291970802
67,4821,Apr 22,141,163,5,0.02924704418170504
68,4992,Apr 23,144,171,3,0.028846153846153848
69,5166,Apr 24,146,174,2,0.028261711188540456
70,5338,Apr 25,154,172,8,0.028849756463094792
71,5538,Apr 26,159,200,5,0.028710725893824486
72,5779,Apr 27,165,241,6,0.028551652535040665
73,6021,Apr 28,167,242,2,0.027736256435808005
74,6200,Apr 29,176,179,9,0.02838709677419355
75,6378,Apr 30,178,178,2,0.027908435246158672
76,6532,May 01,188,154,10,0.02878138395590937
77,6720,May 02,192,188,4,0.02857142857142857
78,7090,May 03,197,370,5,0.02778561354019746
79,7197,May 04,200,107,3,0.027789356676392943
80,7387,May 05,203,190,3,0.027480709354271018
81,7523,May 06,210,136,7,0.02791439585271833
82,7731,May 07,218,208,8,0.02819816323890829
