,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,1,Mar 07,0,1,0,0.0
22,1,Mar 08,0,0,0,0.0
23,1,Mar 09,0,0,0,0.0
24,2,Mar 10,0,1,0,0.0
25,5,Mar 11,0,3,0,0.0
26,6,Mar 12,0,1,0,0.0
27,6,Mar 13,0,0,0,0.0
28,7,Mar 14,0,1,0,0.0
29,8,Mar 15,0,1,0,0.0
30,8,Mar 16,0,0,0,0.0
31,9,Mar 17,0,1,0,0.0
32,11,Mar 18,0,2,0,0.0
33,13,Mar 19,0,2,0,0.0
34,18,Mar 20,0,5,0,0.0
35,22,Mar 21,1,4,0,0.045454545454545456
36,22,Mar 22,1,0,0,0.045454545454545456
37,22,Mar 23,1,0,0,0.045454545454545456
38,27,Mar 24,2,5,1,0.07407407407407407
39,37,Mar 25,3,10,1,0.08108108108108109
40,41,Mar 26,3,4,0,0.07317073170731707
41,52,Mar 27,3,11,0,0.057692307692307696
42,56,Mar 28,3,4,0,0.05357142857142857
43,59,Mar 29,3,3,0,0.05084745762711865
44,64,Mar 30,3,5,0,0.046875
45,65,Mar 31,3,1,0,0.046153846153846156
46,69,Apr 01,3,4,0,0.043478260869565216
47,77,Apr 02,3,8,0,0.03896103896103896
48,92,Apr 03,3,15,0,0.03260869565217391
49,96,Apr 04,3,4,0,0.03125
50,104,Apr 05,3,8,0,0.028846153846153848
51,113,Apr 06,5,9,2,0.04424778761061947
52,115,Apr 07,5,2,0,0.043478260869565216
53,119,Apr 08,5,4,0,0.04201680672268908
54,124,Apr 09,5,5,0,0.04032258064516129
55,129,Apr 10,6,5,1,0.046511627906976744
56,133,Apr 11,6,4,0,0.045112781954887216
57,134,Apr 12,6,1,0,0.04477611940298507
58,147,Apr 13,6,13,0,0.04081632653061224
59,159,Apr 14,7,12,1,0.0440251572327044
60,161,Apr 15,8,2,1,0.049689440993788817
61,174,Apr 16,8,13,0,0.04597701149425287
62,199,Apr 17,8,25,0,0.04020100502512563
63,202,Apr 18,8,3,0,0.039603960396039604
64,206,Apr 19,8,4,0,0.038834951456310676
65,208,Apr 20,8,2,0,0.038461538461538464
66,208,Apr 21,8,0,0,0.038461538461538464
67,213,Apr 22,9,5,1,0.04225352112676056
68,213,Apr 23,9,0,0,0.04225352112676056
69,220,Apr 24,9,7,0,0.04090909090909091
70,223,Apr 25,9,3,0,0.04035874439461883
71,228,Apr 26,9,5,0,0.039473684210526314
72,228,Apr 27,9,0,0,0.039473684210526314
73,230,Apr 28,9,2,0,0.0391304347826087
74,239,Apr 29,9,9,0,0.03765690376569038
75,249,Apr 30,9,10,0,0.03614457831325301
76,266,May 01,10,17,1,0.03759398496240601
77,333,May 02,10,67,0,0.03003003003003003
78,370,May 03,10,37,0,0.02702702702702703
79,396,May 04,10,26,0,0.025252525252525252
80,431,May 05,10,35,0,0.02320185614849188
81,440,May 06,10,9,0,0.022727272727272728
82,462,May 07,10,22,0,0.021645021645021644
