,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,1,Feb 29,0,1,0,0.0
15,3,Mar 01,0,2,0,0.0
16,7,Mar 02,0,4,0,0.0
17,8,Mar 03,0,1,0,0.0
18,8,Mar 04,0,0,0,0.0
19,8,Mar 05,0,0,0,0.0
20,11,Mar 06,0,3,0,0.0
21,12,Mar 07,0,1,0,0.0
22,15,Mar 08,0,3,0,0.0
23,18,Mar 09,0,3,0,0.0
24,24,Mar 10,0,6,0,0.0
25,262,Mar 11,0,238,0,0.0
26,262,Mar 12,0,0,0,0.0
27,320,Mar 13,0,58,0,0.0
28,337,Mar 14,0,17,0,0.0
29,401,Mar 15,0,64,0,0.0
30,439,Mar 16,0,38,0,0.0
31,442,Mar 17,0,3,0,0.0
32,452,Mar 18,0,10,0,0.0
33,460,Mar 19,0,8,0,0.0
34,470,Mar 20,0,10,0,0.0
35,481,Mar 21,0,11,0,0.0
36,494,Mar 22,0,13,0,0.0
37,501,Mar 23,0,7,0,0.0
38,526,Mar 24,0,25,0,0.0
39,537,Mar 25,0,11,0,0.0
40,549,Mar 26,0,12,0,0.0
41,562,Mar 27,0,13,0,0.0
42,590,Mar 28,1,28,1,0.001694915254237288
43,634,Mar 29,1,44,0,0.0015772870662460567
44,693,Mar 30,1,59,0,0.001443001443001443
45,781,Mar 31,2,88,1,0.002560819462227913
46,835,Apr 01,2,54,0,0.0023952095808383233
47,949,Apr 02,3,114,1,0.003161222339304531
48,1075,Apr 03,3,126,0,0.0027906976744186047
49,1325,Apr 04,3,250,0,0.0022641509433962265
50,1604,Apr 05,4,279,1,0.0024937655860349127
51,1832,Apr 06,4,228,0,0.002183406113537118
52,2057,Apr 07,6,225,2,0.002916869227029655
53,2210,Apr 08,6,153,0,0.0027149321266968325
54,2376,Apr 09,6,166,0,0.0025252525252525255
55,2512,Apr 10,6,136,0,0.0023885350318471337
56,2728,Apr 11,6,216,0,0.0021994134897360706
57,2979,Apr 12,7,251,1,0.0023497818059751594
58,3231,Apr 13,7,252,0,0.002166511915815537
59,3428,Apr 14,7,197,0,0.002042007001166861
60,3711,Apr 15,7,283,0,0.001886284020479655
61,4103,Apr 16,7,392,0,0.0017060687301974165
62,4663,Apr 17,7,560,0,0.0015011794981771391
63,5008,Apr 18,8,345,1,0.001597444089456869
64,5448,Apr 19,8,440,0,0.0014684287812041115
65,6015,Apr 20,9,567,1,0.0014962593516209476
66,6533,Apr 21,9,518,0,0.0013776213072095515
67,7141,Apr 22,10,608,1,0.0014003640946646128
68,7764,Apr 23,10,623,0,0.001287995878413189
69,8525,Apr 24,10,761,0,0.0011730205278592375
70,9358,Apr 25,10,833,0,0.0010686044026501388
71,10287,Apr 26,10,929,0,0.000972100709633518
72,11244,Apr 27,10,957,0,0.0008893632159373888
73,11921,Apr 28,10,677,0,0.0008388558006878617
74,12564,Apr 29,10,643,0,0.000795924864692773
75,13409,Apr 30,10,845,0,0.0007457677679170706
76,14096,May 01,12,687,2,0.000851305334846765
77,14872,May 02,12,776,0,0.0008068854222700376
78,15551,May 03,12,679,0,0.0007716545559771075
79,16191,May 04,12,640,0,0.0007411524921252547
80,17142,May 05,12,951,0,0.0007000350017500875
81,17972,May 06,12,830,0,0.0006677053193857111
82,18890,May 07,12,918,0,0.0006352567496029645
