,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,2,Feb 15,0,0,0,0.0
1,2,Feb 16,0,0,0,0.0
2,2,Feb 17,0,0,0,0.0
3,2,Feb 18,0,0,0,0.0
4,2,Feb 19,0,0,0,0.0
5,2,Feb 20,0,0,0,0.0
6,2,Feb 21,0,0,0,0.0
7,2,Feb 22,0,0,0,0.0
8,2,Feb 23,0,0,0,0.0
9,2,Feb 24,0,0,0,0.0
10,2,Feb 25,0,0,0,0.0
11,2,Feb 26,0,0,0,0.0
12,2,Feb 27,0,0,0,0.0
13,2,Feb 28,0,0,0,0.0
14,2,Feb 29,0,0,0,0.0
15,2,Mar 01,0,0,0,0.0
16,3,Mar 02,0,1,0,0.0
17,3,Mar 03,0,0,0,0.0
18,3,Mar 04,0,0,0,0.0
19,7,Mar 05,0,4,0,0.0
20,13,Mar 06,0,6,0,0.0
21,14,Mar 07,0,1,0,0.0
22,17,Mar 08,0,3,0,0.0
23,20,Mar 09,0,3,0,0.0
24,20,Mar 10,0,0,0,0.0
25,28,Mar 11,0,8,0,0.0
26,34,Mar 12,0,6,0,0.0
27,45,Mar 13,0,11,0,0.0
28,59,Mar 14,0,14,0,0.0
29,63,Mar 15,0,4,0,0.0
30,93,Mar 16,0,30,0,0.0
31,114,Mar 17,0,21,0,0.0
32,147,Mar 18,0,33,0,0.0
33,199,Mar 19,1,52,1,0.005025125628140704
34,253,Mar 20,1,54,0,0.003952569169960474
35,306,Mar 21,1,53,0,0.0032679738562091504
36,367,Mar 22,1,61,0,0.0027247956403269754
37,438,Mar 23,1,71,0,0.00228310502283105
38,495,Mar 24,1,57,0,0.00202020202020202
39,658,Mar 25,3,163,2,0.004559270516717325
40,840,Mar 26,3,182,0,0.0035714285714285713
41,1036,Mar 27,4,196,1,0.003861003861003861
42,1264,Mar 28,4,228,0,0.0031645569620253164
43,1534,Mar 29,8,270,4,0.005215123859191656
44,1836,Mar 30,9,302,1,0.004901960784313725
45,2337,Mar 31,17,501,8,0.007274283269148481
46,2777,Apr 01,24,440,7,0.008642419877565718
47,3548,Apr 02,30,771,6,0.008455467869222097
48,4149,Apr 03,34,601,4,0.008194745721860689
49,4731,Apr 04,43,582,9,0.009088987529063623
50,5389,Apr 05,45,658,2,0.00835034329189089
51,6343,Apr 06,47,954,2,0.00740974302380577
52,7497,Apr 07,58,1154,11,0.007736427904495131
53,8672,Apr 08,63,1175,5,0.007264760147601476
54,10131,Apr 09,76,1459,13,0.007501727371434212
55,11917,Apr 10,94,1786,18,0.007887891247797265
56,13584,Apr 11,106,1667,12,0.007803297997644287
57,15770,Apr 12,130,2186,24,0.008243500317057704
58,18328,Apr 13,148,2558,18,0.008075076385857704
59,21102,Apr 14,170,2774,22,0.008056108425741636
60,24490,Apr 15,198,3388,28,0.008084932625561453
61,27938,Apr 16,232,3448,34,0.008304101940010022
62,32008,Apr 17,273,4070,41,0.008529117720569858
63,36793,Apr 18,313,4785,40,0.008507052972032724
64,42853,Apr 19,361,6060,48,0.008424147667607868
65,47121,Apr 20,405,4268,44,0.00859489399630738
66,52763,Apr 21,456,5642,51,0.008642419877565718
67,57999,Apr 22,513,5236,57,0.00884498008586355
68,62773,Apr 23,555,4774,42,0.008841380848453952
69,68622,Apr 24,615,5849,60,0.008962140421439188
70,74588,Apr 25,681,5966,66,0.00913015498471604
71,80949,Apr 26,747,6361,66,0.009228032464885298
72,87147,Apr 27,794,6198,47,0.009111042261925252
73,93558,Apr 28,867,6411,73,0.009266978772526134
74,99399,Apr 29,972,5841,105,0.009778770410165092
75,106498,Apr 30,1073,7099,101,0.010075306578527296
76,114431,May 01,1169,7933,96,0.010215763211017994
77,124054,May 02,1222,9623,53,0.009850548954487563
78,134687,May 03,1280,10633,58,0.009503515558294416
79,145268,May 04,1356,10581,76,0.009334471459646998
80,155370,May 05,1451,10102,95,0.00933899723241295
81,165929,May 06,1537,10559,86,0.009262998029277582
82,177160,May 07,1625,11231,88,0.009172499435538497
