,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,1,Mar 11,0,1,0,0.0
26,4,Mar 12,0,3,0,0.0
27,5,Mar 13,0,1,0,0.0
28,6,Mar 14,0,1,0,0.0
29,7,Mar 15,0,1,0,0.0
30,9,Mar 16,0,2,0,0.0
31,9,Mar 17,0,0,0,0.0
32,14,Mar 18,0,5,0,0.0
33,28,Mar 19,0,14,0,0.0
34,38,Mar 20,0,10,0,0.0
35,47,Mar 21,0,9,0,0.0
36,64,Mar 22,0,17,0,0.0
37,71,Mar 23,0,7,0,0.0
38,94,Mar 24,0,23,0,0.0
39,111,Mar 25,0,17,0,0.0
40,135,Mar 26,0,24,0,0.0
41,145,Mar 27,0,10,0,0.0
42,183,Mar 28,0,38,0,0.0
43,183,Mar 29,0,0,0,0.0
44,224,Mar 30,0,41,0,0.0
45,247,Mar 31,0,23,0,0.0
46,281,Apr 01,0,34,0,0.0
47,308,Apr 02,0,27,0,0.0
48,321,Apr 03,0,13,0,0.0
49,334,Apr 04,0,13,0,0.0
50,344,Apr 05,0,10,0,0.0
51,349,Apr 06,0,5,0,0.0
52,358,Apr 07,0,9,0,0.0
53,362,Apr 08,0,4,0,0.0
54,362,Apr 09,0,0,0,0.0
55,382,Apr 10,0,20,0,0.0
56,388,Apr 11,0,6,0,0.0
57,389,Apr 12,0,1,0,0.0
58,391,Apr 13,0,2,0,0.0
59,391,Apr 14,0,0,0,0.0
60,391,Apr 15,0,0,0,0.0
61,394,Apr 16,0,3,0,0.0
62,402,Apr 17,0,8,0,0.0
63,407,Apr 18,0,5,0,0.0
64,408,Apr 19,0,1,0,0.0
65,408,Apr 20,0,0,0,0.0
66,410,Apr 21,0,2,0,0.0
67,410,Apr 22,0,0,0,0.0
68,412,Apr 23,0,2,0,0.0
69,412,Apr 24,0,0,0,0.0
70,417,Apr 25,0,5,0,0.0
71,417,Apr 26,0,0,0,0.0
72,418,Apr 27,0,1,0,0.0
73,418,Apr 28,0,0,0,0.0
74,420,Apr 29,0,2,0,0.0
75,420,Apr 30,0,0,0,0.0
76,422,May 01,0,2,0,0.0
77,423,May 02,0,1,0,0.0
78,423,May 03,0,0,0,0.0
79,424,May 04,0,1,0,0.0
80,424,May 05,0,0,0,0.0
81,425,May 06,0,1,0,0.0
82,427,May 07,0,2,0,0.0
