,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,2,Mar 01,0,2,0,0.0
16,2,Mar 02,0,0,0,0.0
17,2,Mar 03,0,0,0,0.0
18,2,Mar 04,0,0,0,0.0
19,2,Mar 05,0,0,0,0.0
20,2,Mar 06,0,0,0,0.0
21,2,Mar 07,0,0,0,0.0
22,2,Mar 08,0,0,0,0.0
23,2,Mar 09,0,0,0,0.0
24,2,Mar 10,0,0,0,0.0
25,2,Mar 11,0,0,0,0.0
26,2,Mar 12,0,0,0,0.0
27,2,Mar 13,0,0,0,0.0
28,2,Mar 14,0,0,0,0.0
29,2,Mar 15,0,0,0,0.0
30,2,Mar 16,0,0,0,0.0
31,2,Mar 17,0,0,0,0.0
32,3,Mar 18,0,1,0,0.0
33,3,Mar 19,0,0,0,0.0
34,4,Mar 20,0,1,0,0.0
35,5,Mar 21,0,1,0,0.0
36,5,Mar 22,0,0,0,0.0
37,8,Mar 23,0,3,0,0.0
38,8,Mar 24,0,0,0,0.0
39,11,Mar 25,0,3,0,0.0
40,11,Mar 26,0,0,0,0.0
41,11,Mar 27,0,0,0,0.0
42,11,Mar 28,0,0,0,0.0
43,11,Mar 29,0,0,0,0.0
44,18,Mar 30,1,7,0,0.05555555555555555
45,21,Mar 31,1,3,0,0.047619047619047616
46,22,Apr 01,1,1,0,0.045454545454545456
47,22,Apr 02,1,0,0,0.045454545454545456
48,22,Apr 03,1,0,0,0.045454545454545456
49,24,Apr 04,2,2,1,0.08333333333333333
50,32,Apr 05,2,8,0,0.0625
51,32,Apr 06,2,0,0,0.0625
52,32,Apr 07,2,0,0,0.0625
53,32,Apr 08,2,0,0,0.0625
54,32,Apr 09,2,0,0,0.0625
55,32,Apr 10,2,0,0,0.0625
56,32,Apr 11,2,0,0,0.0625
57,32,Apr 12,2,0,0,0.0625
58,32,Apr 13,2,0,0,0.0625
59,32,Apr 14,2,0,0,0.0625
60,35,Apr 15,2,3,0,0.05714285714285714
61,35,Apr 16,2,0,0,0.05714285714285714
62,35,Apr 17,2,0,0,0.05714285714285714
63,37,Apr 18,2,2,0,0.05405405405405406
64,37,Apr 19,2,0,0,0.05405405405405406
65,37,Apr 20,2,0,0,0.05405405405405406
66,38,Apr 21,2,1,0,0.05263157894736842
67,38,Apr 22,2,0,0,0.05263157894736842
68,38,Apr 23,2,0,0,0.05263157894736842
69,38,Apr 24,3,0,1,0.07894736842105263
70,38,Apr 25,3,0,0,0.07894736842105263
71,38,Apr 26,3,0,0,0.07894736842105263
72,38,Apr 27,3,0,0,0.07894736842105263
73,38,Apr 28,3,0,0,0.07894736842105263
74,38,Apr 29,3,0,0,0.07894736842105263
75,38,Apr 30,3,0,0,0.07894736842105263
76,38,May 01,3,0,0,0.07894736842105263
77,38,May 02,3,0,0,0.07894736842105263
78,38,May 03,3,0,0,0.07894736842105263
79,38,May 04,3,0,0,0.07894736842105263
80,38,May 05,3,0,0,0.07894736842105263
81,38,May 06,3,0,0,0.07894736842105263
82,38,May 07,3,0,0,0.07894736842105263
