,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,1,Feb 27,0,1,0,0.0
13,1,Feb 28,0,0,0,0.0
14,1,Feb 29,0,0,0,0.0
15,9,Mar 01,1,8,1,0.1111111111111111
16,9,Mar 02,1,0,0,0.1111111111111111
17,11,Mar 03,1,2,0,0.09090909090909091
18,17,Mar 04,1,6,0,0.058823529411764705
19,22,Mar 05,1,5,0,0.045454545454545456
20,24,Mar 06,1,2,0,0.041666666666666664
21,27,Mar 07,1,3,0,0.037037037037037035
22,37,Mar 08,1,10,0,0.02702702702702703
23,51,Mar 09,2,14,1,0.0392156862745098
24,62,Mar 10,2,11,0,0.03225806451612903
25,69,Mar 11,3,7,1,0.043478260869565216
26,72,Mar 12,5,3,2,0.06944444444444445
27,80,Mar 13,5,8,0,0.0625
28,101,Mar 14,5,21,0,0.04950495049504951
29,109,Mar 15,7,8,2,0.06422018348623854
30,109,Mar 16,9,0,2,0.08256880733944955
31,119,Mar 17,11,10,2,0.09243697478991597
32,140,Mar 18,14,21,3,0.1
33,144,Mar 19,14,4,0,0.09722222222222222
34,151,Mar 20,14,7,0,0.09271523178807947
35,160,Mar 21,20,9,6,0.125
36,175,Mar 22,20,15,0,0.11428571428571428
37,187,Mar 23,20,12,0,0.10695187165775401
38,187,Mar 24,21,0,1,0.11229946524064172
39,208,Mar 25,21,21,0,0.10096153846153846
40,208,Mar 26,21,0,0,0.10096153846153846
41,223,Mar 27,21,15,0,0.09417040358744394
42,224,Mar 28,22,1,1,0.09821428571428571
43,224,Mar 29,22,0,0,0.09821428571428571
44,230,Mar 30,25,6,3,0.10869565217391304
45,236,Mar 31,26,6,1,0.11016949152542373
46,236,Apr 01,28,0,2,0.11864406779661017
47,245,Apr 02,30,9,2,0.12244897959183673
48,251,Apr 03,32,6,2,0.12749003984063745
49,259,Apr 04,32,8,0,0.12355212355212356
50,266,Apr 05,32,7,0,0.12030075187969924
51,277,Apr 06,32,11,0,0.11552346570397112
52,279,Apr 07,34,2,2,0.12186379928315412
53,308,Apr 08,34,29,0,0.11038961038961038
54,333,Apr 09,34,25,0,0.1021021021021021
55,344,Apr 10,34,11,0,0.09883720930232558
56,356,Apr 11,35,12,1,0.09831460674157304
57,356,Apr 12,35,0,0,0.09831460674157304
58,371,Apr 13,36,15,1,0.09703504043126684
59,372,Apr 14,36,1,0,0.0967741935483871
60,393,Apr 15,36,21,0,0.0916030534351145
61,426,Apr 16,38,33,2,0.0892018779342723
62,435,Apr 17,39,9,1,0.0896551724137931
63,455,Apr 18,39,20,0,0.08571428571428572
64,461,Apr 19,39,6,0,0.08459869848156182
65,462,Apr 20,39,1,0,0.08441558441558442
66,476,Apr 21,40,14,1,0.08403361344537816
67,488,Apr 22,40,12,0,0.08196721311475409
68,501,Apr 23,40,13,0,0.07984031936127745
69,513,Apr 24,40,12,0,0.07797270955165692
70,513,Apr 25,40,0,0,0.07797270955165692
71,538,Apr 26,41,25,1,0.0762081784386617
72,538,Apr 27,41,0,0,0.0762081784386617
73,553,Apr 28,41,15,0,0.07414104882459313
74,563,Apr 29,41,10,0,0.07282415630550622
75,569,Apr 30,41,6,0,0.07205623901581722
76,580,May 01,41,11,0,0.0706896551724138
77,580,May 02,41,0,0,0.0706896551724138
78,582,May 03,41,2,0,0.070446735395189
79,582,May 04,41,0,0,0.070446735395189
80,589,May 05,41,7,0,0.06960950764006792
81,608,May 06,41,19,0,0.06743421052631579
82,622,May 07,41,14,0,0.06591639871382636
