,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,0,0,0,0,0.0
1,0,0,0,0,0.0
2,0,0,0,0,0.0
3,0,0,0,0,0.0
4,0,0,0,0,0.0
5,0,0,0,0,0.0
6,0,0,0,0,0.0
7,0,0,0,0,0.0
8,0,0,0,0,0.0
9,0,0,0,0,0.0
10,0,0,0,0,0.0
11,0,0,0,0,0.0
12,0,0,0,0,0.0
13,0,0,0,0,0.0
14,0,0,0,0,0.0
15,0,0,0,0,0.0
16,1,0,1,0,0.0
17,1,0,0,0,0.0
18,2,0,1,0,0.0
19,5,0,3,0,0.0
20,5,0,0,0,0.0
21,7,0,2,0,0.0
22,11,0,4,0,0.0
23,20,0,9,0,0.0
24,20,0,0,0,0.0
25,45,0,25,0,0.0
26,45,0,0,0,0.0
27,86,0,41,0,0.0
28,103,0,17,0,0.0
29,118,0,15,0,0.0
30,133,0,15,0,0.0
31,171,0,38,0,0.0
32,238,0,67,0,0.0
33,274,0,36,0,0.0
34,344,0,70,0,0.0
35,392,0,48,0,0.0
36,511,0,119,0,0.0
37,562,0,51,0,0.0
38,767,1,205,1,0.001303780964797914
39,900,2,133,1,0.0022222222222222222
40,1012,3,112,1,0.0029644268774703555
41,1104,3,92,0,0.002717391304347826
42,1203,4,99,1,0.0033250207813798837
43,1299,8,96,4,0.006158583525789068
44,1453,8,154,0,0.0055058499655884375
45,1563,10,110,2,0.006397952655150352
46,1720,16,157,6,0.009302325581395349
47,1885,21,165,5,0.011140583554376658
48,2039,25,154,4,0.012260912211868563
49,2179,29,140,4,0.01330885727397889
50,2402,34,223,5,0.014154870940882597
51,2605,38,203,4,0.014587332053742802
52,2795,41,190,3,0.014669051878354204
53,2932,41,137,0,0.01398362892223738
54,3287,44,355,3,0.013386066321874049
55,3651,47,364,3,0.012873185428649686
56,4033,52,382,5,0.012893627572526656
57,4462,59,429,7,0.013222770058269833
58,4934,65,472,6,0.0131738954195379
59,5369,73,435,8,0.013596572918606817
60,5862,79,493,6,0.013476629136813374
61,6380,83,518,4,0.013009404388714733
62,7142,87,762,4,0.012181461775413049
63,8274,92,1132,5,0.011119168479574571
64,9362,97,1088,5,0.010361033967101047
65,10484,103,1122,6,0.009824494467760396
66,11631,109,1147,6,0.009371507179090362
67,12772,114,1141,5,0.008925775133103664
68,13930,121,1158,7,0.008686288585786073
69,15102,127,1172,6,0.008409482187789696
70,16299,136,1197,9,0.008344070188355113
71,17522,139,1223,3,0.007932884373929916
72,18811,144,1289,5,0.007655095422890862
73,20077,152,1266,8,0.007570852218957015
74,21402,157,1325,5,0.0073357630128025415
75,22753,162,1351,5,0.0071199402276622865
76,24097,169,1344,7,0.007013321160310412
77,25459,176,1362,7,0.006913075925998664
78,27011,184,1552,8,0.006812039539446892
79,28656,191,1645,7,0.006665270798436628
80,30251,200,1595,9,0.006611351690853195
81,31938,209,1687,9,0.006543928862170455
