,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,1,Mar 02,0,1,0,0.0
17,2,Mar 03,0,1,0,0.0
18,4,Mar 04,0,2,0,0.0
19,4,Mar 05,0,0,0,0.0
20,4,Mar 06,0,0,0,0.0
21,4,Mar 07,0,0,0,0.0
22,4,Mar 08,0,0,0,0.0
23,4,Mar 09,0,0,0,0.0
24,4,Mar 10,0,0,0,0.0
25,4,Mar 11,0,0,0,0.0
26,10,Mar 12,0,6,0,0.0
27,21,Mar 13,0,11,0,0.0
28,24,Mar 14,0,3,0,0.0
29,24,Mar 15,0,0,0,0.0
30,27,Mar 16,0,3,0,0.0
31,27,Mar 17,0,0,0,0.0
32,36,Mar 18,0,9,0,0.0
33,36,Mar 19,0,0,0,0.0
34,47,Mar 20,0,11,0,0.0
35,56,Mar 21,0,9,0,0.0
36,67,Mar 22,0,11,0,0.0
37,79,Mar 23,0,12,0,0.0
38,86,Mar 24,0,7,0,0.0
39,99,Mar 25,0,13,0,0.0
40,105,Mar 26,0,6,0,0.0
41,119,Mar 27,0,14,0,0.0
42,130,Mar 28,0,11,0,0.0
43,142,Mar 29,0,12,0,0.0
44,162,Mar 30,0,20,0,0.0
45,175,Mar 31,0,13,0,0.0
46,190,Apr 01,1,15,1,0.005263157894736842
47,195,Apr 02,1,5,0,0.005128205128205128
48,207,Apr 03,1,12,0,0.004830917874396135
49,219,Apr 04,2,12,1,0.0091324200913242
50,222,Apr 05,2,3,0,0.009009009009009009
51,226,Apr 06,2,4,0,0.008849557522123894
52,237,Apr 07,2,11,0,0.008438818565400843
53,244,Apr 08,2,7,0,0.00819672131147541
54,250,Apr 09,2,6,0,0.008
55,265,Apr 10,2,15,0,0.007547169811320755
56,278,Apr 11,2,13,0,0.007194244604316547
57,280,Apr 12,2,2,0,0.007142857142857143
58,291,Apr 13,2,11,0,0.006872852233676976
59,299,Apr 14,2,8,0,0.006688963210702341
60,314,Apr 15,2,15,0,0.006369426751592357
61,335,Apr 16,2,21,0,0.005970149253731343
62,342,Apr 17,2,7,0,0.005847953216374269
63,350,Apr 18,3,8,1,0.008571428571428572
64,367,Apr 19,3,17,0,0.008174386920980926
65,377,Apr 20,5,10,2,0.013262599469496022
66,412,Apr 21,5,35,0,0.012135922330097087
67,442,Apr 22,6,30,1,0.013574660633484163
68,479,Apr 23,6,37,0,0.012526096033402923
69,545,Apr 24,7,66,1,0.012844036697247707
70,614,Apr 25,7,69,0,0.011400651465798045
71,671,Apr 26,9,57,2,0.013412816691505217
72,736,Apr 27,9,65,0,0.012228260869565218
73,823,Apr 28,9,87,0,0.010935601458080195
74,882,Apr 29,9,59,0,0.01020408163265306
75,933,Apr 30,9,51,0,0.00964630225080386
76,1024,May 01,9,91,0,0.0087890625
77,1115,May 02,9,91,0,0.008071748878923767
78,1182,May 03,9,67,0,0.007614213197969543
79,1271,May 04,10,89,1,0.007867820613690008
80,1329,May 05,11,58,1,0.008276899924755455
81,1433,May 06,12,104,1,0.00837404047452896
82,1492,May 07,13,59,1,0.00871313672922252
