,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,0,0,0,0,0.0
1,0,0,0,0,0.0
2,0,0,0,0,0.0
3,0,0,0,0,0.0
4,0,0,0,0,0.0
5,0,0,0,0,0.0
6,0,0,0,0,0.0
7,0,0,0,0,0.0
8,0,0,0,0,0.0
9,0,0,0,0,0.0
10,0,0,0,0,0.0
11,0,0,0,0,0.0
12,0,0,0,0,0.0
13,0,0,0,0,0.0
14,0,0,0,0,0.0
15,0,0,0,0,0.0
16,0,0,0,0,0.0
17,0,0,0,0,0.0
18,0,0,0,0,0.0
19,0,0,0,0,0.0
20,1,0,1,0,0.0
21,1,0,0,0,0.0
22,1,0,0,0,0.0
23,2,0,1,0,0.0
24,5,0,3,0,0.0
25,18,0,13,0,0.0
26,24,0,6,0,0.0
27,35,0,11,0,0.0
28,46,0,11,0,0.0
29,48,0,2,0,0.0
30,57,0,9,0,0.0
31,72,0,15,0,0.0
32,89,0,17,0,0.0
33,103,0,14,0,0.0
34,135,1,32,0,0.007407407407407408
35,171,1,36,0,0.005847953216374269
36,222,2,51,1,0.009009009009009009
37,249,3,27,1,0.012048192771084338
38,303,3,54,0,0.009900990099009901
39,384,4,81,1,0.010416666666666666
40,457,7,73,3,0.015317286652078774
41,528,8,71,1,0.015151515151515152
42,659,10,131,2,0.015174506828528073
43,741,13,82,3,0.017543859649122806
44,785,16,44,3,0.02038216560509554
45,900,23,115,7,0.025555555555555557
46,1060,28,160,5,0.026415094339622643
47,1171,31,111,3,0.026473099914602904
48,1476,39,305,8,0.026422764227642278
49,1624,44,148,5,0.027093596059113302
50,1908,51,284,7,0.026729559748427674
51,2200,58,292,7,0.026363636363636363
52,2447,61,247,3,0.024928483857785042
53,2666,65,219,4,0.024381095273818456
54,2867,66,201,1,0.023020579002441578
55,3105,71,238,5,0.022866344605475042
56,3380,74,275,3,0.021893491124260357
57,3630,80,250,6,0.02203856749311295
58,4054,85,424,5,0.02096694622594968
59,4465,94,411,9,0.021052631578947368
60,4873,99,408,5,0.020316027088036117
61,5318,103,445,4,0.01936818352764197
62,5690,110,372,7,0.019332161687170474
63,5994,117,304,7,0.01951951951951952
64,6318,122,324,5,0.019309908198797087
65,6630,125,312,3,0.01885369532428356
66,6890,130,260,5,0.018867924528301886
67,7114,134,224,4,0.018836097835254428
68,7276,139,162,5,0.01910390324354041
69,7483,144,207,5,0.01924361886943739
70,7779,151,296,7,0.01941123537729785
71,8042,156,263,5,0.019398159661775678
72,8275,162,233,6,0.019577039274924473
73,8497,168,222,6,0.019771684123808402
74,8724,173,227,5,0.019830353049060064
75,9009,179,285,6,0.019869019869019868
76,9205,185,196,6,0.020097772949483977
77,9362,189,157,4,0.02018799401837214
78,9464,193,102,4,0.020393068469991546
79,9557,197,93,4,0.020613163126504134
80,9677,200,120,3,0.02066756226103131
81,9791,203,114,3,0.020733326524359105
