,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,0,Mar 19,0,0,0,0.0
34,0,Mar 20,0,0,0,0.0
35,0,Mar 21,0,0,0,0.0
36,0,Mar 22,0,0,0,0.0
37,0,Mar 23,0,0,0,0.0
38,0,Mar 24,0,0,0,0.0
39,0,Mar 25,0,0,0,0.0
40,0,Mar 26,0,0,0,0.0
41,0,Mar 27,0,0,0,0.0
42,0,Mar 28,0,0,0,0.0
43,0,Mar 29,0,0,0,0.0
44,0,Mar 30,0,0,0,0.0
45,1,Mar 31,0,1,0,0.0
46,2,Apr 01,0,1,0,0.0
47,2,Apr 02,0,0,0,0.0
48,2,Apr 03,0,0,0,0.0
49,4,Apr 04,0,2,0,0.0
50,6,Apr 05,0,2,0,0.0
51,6,Apr 06,0,0,0,0.0
52,6,Apr 07,0,0,0,0.0
53,7,Apr 08,0,1,0,0.0
54,7,Apr 09,0,0,0,0.0
55,8,Apr 10,0,1,0,0.0
56,10,Apr 11,0,2,0,0.0
57,10,Apr 12,0,0,0,0.0
58,10,Apr 13,0,0,0,0.0
59,11,Apr 14,0,1,0,0.0
60,13,Apr 15,0,2,0,0.0
61,15,Apr 16,0,2,0,0.0
62,26,Apr 17,0,11,0,0.0
63,30,Apr 18,0,4,0,0.0
64,35,Apr 19,0,5,0,0.0
65,43,Apr 20,0,8,0,0.0
66,50,Apr 21,0,7,0,0.0
67,61,Apr 22,0,11,0,0.0
68,64,Apr 23,1,3,0,0.015625
69,82,Apr 24,2,18,1,0.024390243902439025
70,82,Apr 25,2,0,0,0.024390243902439025
71,93,Apr 26,4,11,2,0.043010752688172046
72,99,Apr 27,4,6,0,0.04040404040404041
73,104,Apr 28,4,5,0,0.038461538461538464
74,104,Apr 29,4,0,0,0.038461538461538464
75,124,Apr 30,7,20,3,0.056451612903225805
76,136,May 01,7,12,0,0.051470588235294115
77,155,May 02,8,19,1,0.05161290322580645
78,166,May 03,8,11,0,0.04819277108433735
79,178,May 04,9,12,1,0.05056179775280899
80,199,May 05,11,21,2,0.05527638190954774
81,225,May 06,14,26,3,0.06222222222222222
82,231,May 07,16,6,2,0.06926406926406926
