,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,72,Feb 15,0,0,0,0.0
1,75,Feb 16,0,3,0,0.0
2,77,Feb 17,0,2,0,0.0
3,81,Feb 18,0,4,0,0.0
4,84,Feb 19,0,3,0,0.0
5,85,Feb 20,0,1,0,0.0
6,86,Feb 21,0,1,0,0.0
7,89,Feb 22,0,3,0,0.0
8,89,Feb 23,0,0,0,0.0
9,90,Feb 24,0,1,0,0.0
10,91,Feb 25,0,1,0,0.0
11,93,Feb 26,0,2,0,0.0
12,96,Feb 27,0,3,0,0.0
13,98,Feb 28,0,2,0,0.0
14,102,Feb 29,0,4,0,0.0
15,106,Mar 01,0,4,0,0.0
16,108,Mar 02,0,2,0,0.0
17,110,Mar 03,0,2,0,0.0
18,112,Mar 04,0,2,0,0.0
19,117,Mar 05,0,5,0,0.0
20,130,Mar 06,0,13,0,0.0
21,138,Mar 07,0,8,0,0.0
22,150,Mar 08,0,12,0,0.0
23,160,Mar 09,0,10,0,0.0
24,166,Mar 10,0,6,0,0.0
25,178,Mar 11,0,12,0,0.0
26,187,Mar 12,0,9,0,0.0
27,200,Mar 13,0,13,0,0.0
28,212,Mar 14,0,12,0,0.0
29,226,Mar 15,0,14,0,0.0
30,243,Mar 16,0,17,0,0.0
31,266,Mar 17,0,23,0,0.0
32,313,Mar 18,0,47,0,0.0
33,345,Mar 19,0,32,0,0.0
34,385,Mar 20,0,40,0,0.0
35,432,Mar 21,2,47,2,0.004629629629629629
36,455,Mar 22,2,23,0,0.004395604395604396
37,509,Mar 23,2,54,0,0.003929273084479371
38,558,Mar 24,2,49,0,0.0035842293906810036
39,631,Mar 25,2,73,0,0.003169572107765452
40,683,Mar 26,2,52,0,0.0029282576866764276
41,732,Mar 27,2,49,0,0.00273224043715847
42,802,Mar 28,2,70,0,0.0024937655860349127
43,844,Mar 29,3,42,1,0.0035545023696682463
44,879,Mar 30,3,35,0,0.0034129692832764505
45,926,Mar 31,3,47,0,0.0032397408207343412
46,1000,Apr 01,3,74,0,0.003
47,1049,Apr 02,4,49,1,0.0038131553860819827
48,1114,Apr 03,5,65,1,0.004488330341113106
49,1189,Apr 04,6,75,1,0.005046257359125316
50,1309,Apr 05,6,120,0,0.004583651642475172
51,1375,Apr 06,6,66,0,0.004363636363636364
52,1481,Apr 07,6,106,0,0.004051316677920324
53,1623,Apr 08,6,142,0,0.0036968576709796672
54,1910,Apr 09,6,287,0,0.0031413612565445027
55,2108,Apr 10,7,198,1,0.003320683111954459
56,2299,Apr 11,8,191,1,0.0034797738147020443
57,2532,Apr 12,8,233,0,0.00315955766192733
58,2918,Apr 13,9,386,1,0.003084304318026045
59,3252,Apr 14,10,334,1,0.003075030750307503
60,3699,Apr 15,10,447,0,0.002703433360367667
61,4427,Apr 16,10,728,0,0.00225886604924328
62,5050,Apr 17,11,623,1,0.0021782178217821784
63,5992,Apr 18,11,942,0,0.001835781041388518
64,6588,Apr 19,11,596,0,0.0016697024893746206
65,8014,Apr 20,11,1426,0,0.0013725979535812328
66,9125,Apr 21,11,1111,0,0.0012054794520547946
67,10141,Apr 22,12,1016,1,0.0011833152549058279
68,11178,Apr 23,12,1037,0,0.0010735373054213634
69,12075,Apr 24,12,897,0,0.0009937888198757764
70,12693,Apr 25,12,618,0,0.0009454029780193808
71,13624,Apr 26,12,931,0,0.0008807985907222549
72,14423,Apr 27,14,799,2,0.0009706718435831658
73,14951,Apr 28,14,528,0,0.0009363922145675874
74,15641,Apr 29,14,690,0,0.0008950834345630075
75,16169,Apr 30,15,528,1,0.0009277011565341084
76,17101,May 01,16,932,1,0.0009356178001286475
77,17548,May 02,17,447,1,0.0009687713699566902
78,18205,May 03,18,657,1,0.0009887393573194177
79,18778,May 04,18,573,0,0.000958568537650442
80,19410,May 05,18,632,0,0.0009273570324574962
81,20198,May 06,20,788,2,0.0009901970492127933
82,20939,May 07,20,741,0,0.0009551554515497397
