,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,1,Mar 06,0,1,0,0.0
21,3,Mar 07,0,2,0,0.0
22,5,Mar 08,0,2,0,0.0
23,7,Mar 09,0,2,0,0.0
24,7,Mar 10,0,0,0,0.0
25,10,Mar 11,0,3,0,0.0
26,21,Mar 12,0,11,0,0.0
27,32,Mar 13,0,11,0,0.0
28,44,Mar 14,0,12,0,0.0
29,61,Mar 15,0,17,0,0.0
30,72,Mar 16,0,11,0,0.0
31,97,Mar 17,0,25,0,0.0
32,105,Mar 18,0,8,0,0.0
33,124,Mar 19,0,19,0,0.0
34,137,Mar 20,0,13,0,0.0
35,178,Mar 21,0,41,0,0.0
36,185,Mar 22,0,7,0,0.0
37,186,Mar 23,0,1,0,0.0
38,204,Mar 24,0,18,0,0.0
39,216,Mar 25,0,12,0,0.0
40,226,Mar 26,0,10,0,0.0
41,269,Mar 27,0,43,0,0.0
42,292,Mar 28,0,23,0,0.0
43,314,Mar 29,0,22,0,0.0
44,336,Mar 30,0,22,0,0.0
45,363,Mar 31,0,27,0,0.0
46,400,Apr 01,1,37,1,0.0025
47,426,Apr 02,1,26,0,0.002347417840375587
48,450,Apr 03,1,24,0,0.0022222222222222222
49,471,Apr 04,1,21,0,0.0021231422505307855
50,485,Apr 05,1,14,0,0.002061855670103093
51,534,Apr 06,2,49,1,0.003745318352059925
52,581,Apr 07,2,47,0,0.0034423407917383822
53,682,Apr 08,2,101,0,0.002932551319648094
54,701,Apr 09,2,19,0,0.0028530670470756064
55,715,Apr 10,2,14,0,0.002797202797202797
56,728,Apr 11,2,13,0,0.0027472527472527475
57,742,Apr 12,2,14,0,0.0026954177897574125
58,769,Apr 13,2,27,0,0.002600780234070221
59,835,Apr 14,2,66,0,0.0023952095808383233
60,863,Apr 15,6,28,4,0.006952491309385863
61,977,Apr 16,8,114,2,0.008188331627430911
62,1049,Apr 17,9,72,1,0.008579599618684462
63,1089,Apr 18,11,40,2,0.010101010101010102
64,1161,Apr 19,12,72,1,0.0103359173126615
65,1173,Apr 20,13,12,1,0.011082693947144074
66,1199,Apr 21,14,26,1,0.011676396997497914
67,1244,Apr 22,14,45,0,0.011254019292604502
68,1325,Apr 23,15,81,1,0.011320754716981131
69,1360,Apr 24,17,35,2,0.0125
70,1373,Apr 25,17,13,0,0.012381646030589949
71,1379,Apr 26,18,6,1,0.01305293691080493
72,1381,Apr 27,18,2,0,0.013034033309196235
73,1384,Apr 28,20,3,2,0.014450867052023121
74,1391,Apr 29,22,7,2,0.015815959741193385
75,1396,Apr 30,23,5,1,0.0164756446991404
76,1403,May 01,23,7,0,0.01639344262295082
77,1407,May 02,24,4,1,0.017057569296375266
78,1408,May 03,24,1,0,0.017045454545454544
79,1413,May 04,25,5,1,0.017692852087756547
80,1421,May 05,25,8,0,0.017593244194229415
81,1429,May 06,25,8,0,0.01749475157452764
82,1445,May 07,26,16,1,0.017993079584775088
