,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,1,Mar 04,0,1,0,0.0
19,6,Mar 05,0,5,0,0.0
20,8,Mar 06,0,2,0,0.0
21,12,Mar 07,0,4,0,0.0
22,16,Mar 08,0,4,0,0.0
23,25,Mar 09,0,9,0,0.0
24,34,Mar 10,0,9,0,0.0
25,57,Mar 11,0,23,0,0.0
26,96,Mar 12,0,39,0,0.0
27,141,Mar 13,0,45,0,0.0
28,181,Mar 14,1,40,0,0.0055248618784530384
29,219,Mar 15,1,38,0,0.0045662100456621
30,253,Mar 16,1,34,0,0.003952569169960474
31,275,Mar 17,1,22,0,0.0036363636363636364
32,286,Mar 18,1,11,0,0.0034965034965034965
33,319,Mar 19,1,33,0,0.003134796238244514
34,341,Mar 20,1,22,0,0.002932551319648094
35,383,Mar 21,1,42,0,0.0026109660574412533
36,414,Mar 22,2,31,1,0.004830917874396135
37,442,Mar 23,3,28,1,0.006787330316742082
38,480,Mar 24,4,38,1,0.008333333333333333
39,528,Mar 25,5,48,1,0.00946969696969697
40,562,Mar 26,6,34,1,0.010676156583629894
41,632,Mar 27,9,70,3,0.014240506329113924
42,684,Mar 28,9,52,0,0.013157894736842105
43,730,Mar 29,11,46,2,0.015068493150684932
44,756,Mar 30,11,26,0,0.01455026455026455
45,802,Mar 31,15,46,4,0.018703241895261846
46,841,Apr 01,15,39,0,0.0178359096313912
47,897,Apr 02,17,56,2,0.0189520624303233
48,934,Apr 03,20,37,3,0.021413276231263382
49,977,Apr 04,22,43,2,0.022517911975435005
50,997,Apr 05,28,20,6,0.028084252758274825
51,1021,Apr 06,30,24,2,0.029382957884427033
52,1059,Apr 07,36,38,6,0.0339943342776204
53,1091,Apr 08,40,32,4,0.03666361136571952
54,1124,Apr 09,43,33,3,0.03825622775800712
55,1160,Apr 10,45,36,2,0.03879310344827586
56,1188,Apr 11,50,28,5,0.04208754208754209
57,1205,Apr 12,53,17,3,0.04398340248962656
58,1212,Apr 13,55,7,2,0.04537953795379538
59,1220,Apr 14,56,8,1,0.04590163934426229
60,1248,Apr 15,61,28,5,0.04887820512820513
61,1268,Apr 16,61,20,0,0.04810725552050473
62,1304,Apr 17,66,36,5,0.05061349693251534
63,1317,Apr 18,70,13,4,0.05315110098709187
64,1330,Apr 19,74,13,4,0.055639097744360905
65,1335,Apr 20,77,5,3,0.05767790262172284
66,1344,Apr 21,77,9,0,0.057291666666666664
67,1353,Apr 22,79,9,2,0.058388765705838876
68,1366,Apr 23,79,13,0,0.057833089311859445
69,1373,Apr 24,80,7,1,0.05826656955571741
70,1388,Apr 25,81,15,1,0.058357348703170026
71,1396,Apr 26,82,8,1,0.05873925501432665
72,1402,Apr 27,83,6,1,0.05920114122681883
73,1408,Apr 28,86,6,3,0.061079545454545456
74,1418,Apr 29,89,10,3,0.06276445698166432
75,1429,Apr 30,91,11,2,0.06368089573128062
76,1434,May 01,92,5,1,0.06415620641562064
77,1439,May 02,94,5,2,0.06532314107018763
78,1439,May 03,96,0,2,0.06671299513551077
79,1439,May 04,97,0,1,0.06740792216817235
80,1445,May 05,98,6,1,0.06782006920415225
81,1448,May 06,99,3,1,0.06837016574585636
82,1449,May 07,99,1,0,0.06832298136645963
