,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,1,Mar 16,0,1,0,0.0
31,1,Mar 17,0,0,0,0.0
32,1,Mar 18,0,0,0,0.0
33,1,Mar 19,0,0,0,0.0
34,1,Mar 20,0,0,0,0.0
35,1,Mar 21,0,0,0,0.0
36,1,Mar 22,0,0,0,0.0
37,1,Mar 23,0,0,0,0.0
38,1,Mar 24,0,0,0,0.0
39,1,Mar 25,0,0,0,0.0
40,2,Mar 26,0,1,0,0.0
41,3,Mar 27,0,1,0,0.0
42,3,Mar 28,0,0,0,0.0
43,3,Mar 29,0,0,0,0.0
44,3,Mar 30,0,0,0,0.0
45,5,Mar 31,0,2,0,0.0
46,5,Apr 01,0,0,0,0.0
47,5,Apr 02,0,0,0,0.0
48,7,Apr 03,0,2,0,0.0
49,7,Apr 04,0,0,0,0.0
50,7,Apr 05,0,0,0,0.0
51,7,Apr 06,0,0,0,0.0
52,8,Apr 07,0,1,0,0.0
53,12,Apr 08,1,4,0,0.08333333333333333
54,12,Apr 09,1,0,0,0.08333333333333333
55,21,Apr 10,1,9,0,0.047619047619047616
56,21,Apr 11,1,0,0,0.047619047619047616
57,25,Apr 12,1,4,0,0.04
58,60,Apr 13,2,35,1,0.03333333333333333
59,60,Apr 14,2,0,0,0.03333333333333333
60,80,Apr 15,5,20,3,0.0625
61,80,Apr 16,5,0,0,0.0625
62,116,Apr 17,6,36,1,0.05172413793103448
63,135,Apr 18,7,19,1,0.05185185185185185
64,164,Apr 19,7,29,0,0.042682926829268296
65,237,Apr 20,8,73,1,0.03375527426160337
66,286,Apr 21,8,49,0,0.027972027972027972
67,286,Apr 22,8,0,0,0.027972027972027972
68,328,Apr 23,16,42,8,0.04878048780487805
69,328,Apr 24,16,0,0,0.04878048780487805
70,390,Apr 25,18,62,2,0.046153846153846156
71,436,Apr 26,23,46,5,0.052752293577981654
72,480,Apr 27,26,44,3,0.05416666666666667
73,528,Apr 28,28,48,2,0.05303030303030303
74,582,Apr 29,28,54,0,0.048109965635738834
75,601,Apr 30,28,19,0,0.04658901830282862
76,601,May 01,28,0,0,0.04658901830282862
77,671,May 02,31,70,3,0.046199701937406856
78,722,May 03,32,51,1,0.0443213296398892
79,756,May 04,35,34,3,0.046296296296296294
80,835,May 05,38,79,3,0.045508982035928146
81,873,May 06,39,38,1,0.044673539518900345
82,928,May 07,44,55,5,0.04741379310344827
