,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,1,Mar 05,0,1,0,0.0
20,1,Mar 06,0,0,0,0.0
21,2,Mar 07,0,1,0,0.0
22,3,Mar 08,0,1,0,0.0
23,7,Mar 09,0,4,0,0.0
24,7,Mar 10,0,0,0,0.0
25,13,Mar 11,0,6,0,0.0
26,16,Mar 12,0,3,0,0.0
27,24,Mar 13,0,8,0,0.0
28,38,Mar 14,0,14,0,0.0
29,61,Mar 15,0,23,0,0.0
30,64,Mar 16,0,3,0,0.0
31,85,Mar 17,0,21,0,0.0
32,116,Mar 18,0,31,0,0.0
33,150,Mar 19,0,34,0,0.0
34,202,Mar 20,0,52,0,0.0
35,240,Mar 21,0,38,0,0.0
36,274,Mar 22,0,34,0,0.0
37,402,Mar 23,0,128,0,0.0
38,554,Mar 24,0,152,0,0.0
39,709,Mar 25,0,155,0,0.0
40,927,Mar 26,0,218,0,0.0
41,1170,Mar 27,1,243,0,0.0008547008547008547
42,1187,Mar 28,1,17,0,0.0008424599831508003
43,1280,Mar 29,2,93,1,0.0015625
44,1326,Mar 30,3,46,1,0.0022624434389140274
45,1353,Mar 31,5,27,2,0.003695491500369549
46,1380,Apr 01,5,27,0,0.0036231884057971015
47,1462,Apr 02,5,82,0,0.003419972640218878
48,1505,Apr 03,9,43,4,0.005980066445182724
49,1585,Apr 04,9,80,0,0.0056782334384858045
50,1655,Apr 05,11,70,2,0.006646525679758308
51,1686,Apr 06,12,31,1,0.0071174377224199285
52,1749,Apr 07,13,63,1,0.007432818753573471
53,1845,Apr 08,18,96,5,0.00975609756097561
54,1934,Apr 09,18,89,0,0.009307135470527405
55,2003,Apr 10,24,69,6,0.011982026959560658
56,2028,Apr 11,25,25,1,0.01232741617357002
57,2173,Apr 12,25,145,0,0.01150483202945237
58,2272,Apr 13,27,99,2,0.011883802816901408
59,2415,Apr 14,27,143,0,0.011180124223602485
60,2506,Apr 15,34,91,7,0.013567438148443736
61,2605,Apr 16,48,99,14,0.018426103646833013
62,2783,Apr 17,50,178,2,0.017966223499820338
63,3034,Apr 18,52,251,2,0.017139090309822018
64,3158,Apr 19,54,124,2,0.017099430018999367
65,3300,Apr 20,58,142,4,0.017575757575757574
66,3465,Apr 21,58,165,0,0.01673881673881674
67,3635,Apr 22,65,170,7,0.017881705639614855
68,3953,Apr 23,75,318,10,0.018972931950417403
69,4220,Apr 24,79,267,4,0.01872037914691943
70,4361,Apr 25,86,141,7,0.019720247649621648
71,4546,Apr 26,87,185,1,0.01913770347558293
72,4793,Apr 27,90,247,3,0.018777383684539954
73,4996,Apr 28,93,203,3,0.018614891913530825
74,5350,Apr 29,103,354,10,0.01925233644859813
75,5647,Apr 30,103,297,0,0.0182397733309722
76,5951,May 01,116,304,13,0.01949252226516552
77,6336,May 02,123,385,7,0.019412878787878788
78,6783,May 03,131,447,8,0.01931298835323603
79,7220,May 04,138,437,7,0.019113573407202215
80,7572,May 05,148,352,10,0.01954569466455362
81,7808,May 06,153,236,5,0.0195952868852459
82,8232,May 07,161,424,8,0.0195578231292517
