,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,2,Feb 15,0,0,0,0.0
1,2,Feb 16,0,0,0,0.0
2,2,Feb 17,0,0,0,0.0
3,2,Feb 18,0,0,0,0.0
4,2,Feb 19,0,0,0,0.0
5,2,Feb 20,0,0,0,0.0
6,2,Feb 21,0,0,0,0.0
7,2,Feb 22,0,0,0,0.0
8,2,Feb 23,0,0,0,0.0
9,3,Feb 24,0,1,0,0.0
10,9,Feb 25,0,6,0,0.0
11,13,Feb 26,0,4,0,0.0
12,25,Feb 27,0,12,0,0.0
13,33,Feb 28,0,8,0,0.0
14,58,Feb 29,0,25,0,0.0
15,84,Mar 01,0,26,0,0.0
16,120,Mar 02,0,36,0,0.0
17,165,Mar 03,1,45,1,0.006060606060606061
18,228,Mar 04,2,63,1,0.008771929824561403
19,282,Mar 05,3,54,1,0.010638297872340425
20,401,Mar 06,8,119,5,0.0199501246882793
21,525,Mar 07,10,124,2,0.01904761904761905
22,674,Mar 08,17,149,7,0.025222551928783383
23,1231,Mar 09,30,557,13,0.024370430544272948
24,1695,Mar 10,36,464,6,0.021238938053097345
25,2277,Mar 11,55,582,19,0.024154589371980676
26,3146,Mar 12,86,869,31,0.02733630006357279
27,5232,Mar 13,133,2086,47,0.025420489296636085
28,6391,Mar 14,196,1159,63,0.03066812705366922
29,7988,Mar 15,294,1597,98,0.036805207811717575
30,9942,Mar 16,342,1954,48,0.0343995171997586
31,11826,Mar 17,533,1884,191,0.04507018433959073
32,14769,Mar 18,638,2943,105,0.04319859164466112
33,18077,Mar 19,831,3308,193,0.045970017148863195
34,21571,Mar 20,1093,3494,262,0.050669880858560105
35,25496,Mar 21,1381,3925,288,0.054165359272042676
36,28768,Mar 22,1772,3272,391,0.06159621802002225
37,35136,Mar 23,2311,6368,539,0.06577299635701275
38,42058,Mar 24,2991,6922,680,0.0711160777973275
39,49515,Mar 25,3647,7457,656,0.07365444814702615
40,57786,Mar 26,4365,8271,718,0.07553732738033433
41,65719,Mar 27,5138,7933,773,0.07818134785982744
42,73235,Mar 28,5982,7516,844,0.08168225575203113
43,80110,Mar 29,6803,6875,821,0.0849207339907627
44,87956,Mar 30,7716,7846,913,0.08772568102232935
45,95923,Mar 31,8464,7967,748,0.08823744044702522
46,104118,Apr 01,9387,8195,923,0.09015732150060508
47,112065,Apr 02,10348,7947,961,0.09233926738946148
48,119199,Apr 03,11198,7134,850,0.09394374113876794
49,126168,Apr 04,11947,6969,749,0.0946912053769577
50,131646,Apr 05,12641,5478,694,0.09602266684897376
51,136675,Apr 06,13341,5029,700,0.0976111212730931
52,141942,Apr 07,14045,5267,704,0.09894886643840442
53,148220,Apr 08,14792,6278,747,0.09979759816489003
54,153222,Apr 09,15447,5002,655,0.10081450444453147
55,158273,Apr 10,16081,5051,634,0.1016029265888686
56,163027,Apr 11,16606,4754,525,0.1018604280272593
57,166831,Apr 12,17209,3804,603,0.10315229184024552
58,170099,Apr 13,17756,3268,547,0.10438626917265828
59,174060,Apr 14,18255,3961,499,0.10487762840399863
60,180659,Apr 15,18812,6599,557,0.10412988005026043
61,184948,Apr 16,19130,4289,318,0.10343447888055021
62,190839,Apr 17,19478,5891,348,0.10206509151693312
63,194416,Apr 18,20043,3577,565,0.10309336680108633
64,198674,Apr 19,20453,4258,410,0.10294754220481794
65,200210,Apr 20,20852,1536,399,0.10415064182608261
66,204178,Apr 21,21282,3968,430,0.10423258137507468
67,208389,Apr 22,21717,4211,435,0.10421375408490852
68,213024,Apr 23,22157,4635,440,0.10401175454408892
69,219764,Apr 24,22524,6740,367,0.10249176389217524
70,223759,Apr 25,22902,3995,378,0.10235119034318173
71,226629,Apr 26,23190,2870,288,0.1023258276743047
72,229422,Apr 27,23521,2793,331,0.10252286180052479
73,232128,Apr 28,23822,2706,301,0.1026244141163496
74,236899,Apr 29,24275,4771,453,0.10246982891443189
75,239340,Apr 30,24543,2441,268,0.10254449736776135
76,242979,May 01,24824,3639,281,0.10216520769284589
77,245589,May 02,25100,2610,276,0.10220327457663006
78,247122,May 03,25264,1533,164,0.1022329052047167
79,248301,May 04,25428,1179,164,0.10240796452692498
80,250561,May 05,25613,2260,185,0.10222261245764505
81,253682,May 06,25857,3121,244,0.10192682176898638
82,256855,May 07,26070,3173,213,0.10149695353409512
