,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,1,Mar 13,1,1,0,1.0
28,1,Mar 14,1,0,0,1.0
29,1,Mar 15,1,0,0,1.0
30,1,Mar 16,1,0,0,1.0
31,1,Mar 17,1,0,0,1.0
32,2,Mar 18,1,1,0,0.5
33,2,Mar 19,1,0,0,0.5
34,2,Mar 20,1,0,0,0.5
35,2,Mar 21,1,0,0,0.5
36,2,Mar 22,1,0,0,0.5
37,2,Mar 23,1,0,0,0.5
38,3,Mar 24,1,1,0,0.3333333333333333
39,3,Mar 25,1,0,0,0.3333333333333333
40,3,Mar 26,1,0,0,0.3333333333333333
41,3,Mar 27,1,0,0,0.3333333333333333
42,5,Mar 28,1,2,0,0.2
43,6,Mar 29,1,1,0,0.16666666666666666
44,6,Mar 30,2,0,1,0.3333333333333333
45,7,Mar 31,2,1,0,0.2857142857142857
46,7,Apr 01,2,0,0,0.2857142857142857
47,8,Apr 02,2,1,0,0.25
48,10,Apr 03,2,2,0,0.2
49,10,Apr 04,2,0,0,0.2
50,12,Apr 05,2,2,0,0.16666666666666666
51,12,Apr 06,2,0,0,0.16666666666666666
52,14,Apr 07,2,2,0,0.14285714285714285
53,14,Apr 08,2,0,0,0.14285714285714285
54,15,Apr 09,2,1,0,0.13333333333333333
55,17,Apr 10,2,2,0,0.11764705882352941
56,19,Apr 11,2,2,0,0.10526315789473684
57,19,Apr 12,2,0,0,0.10526315789473684
58,29,Apr 13,4,10,2,0.13793103448275862
59,32,Apr 14,5,3,1,0.15625
60,32,Apr 15,5,0,0,0.15625
61,32,Apr 16,5,0,0,0.15625
62,33,Apr 17,6,1,1,0.18181818181818182
63,66,Apr 18,10,33,4,0.15151515151515152
64,66,Apr 19,10,0,0,0.15151515151515152
65,107,Apr 20,12,41,2,0.11214953271028037
66,140,Apr 21,13,33,1,0.09285714285714286
67,140,Apr 22,13,0,0,0.09285714285714286
68,162,Apr 23,13,22,0,0.08024691358024691
69,174,Apr 24,16,12,3,0.09195402298850575
70,213,Apr 25,17,39,1,0.07981220657276995
71,237,Apr 26,21,24,4,0.08860759493670886
72,275,Apr 27,22,38,1,0.08
73,318,Apr 28,25,43,3,0.07861635220125786
74,375,Apr 29,28,57,3,0.07466666666666667
75,442,Apr 30,31,67,3,0.07013574660633484
76,442,May 01,31,0,0,0.07013574660633484
77,592,May 02,41,150,10,0.06925675675675676
78,592,May 03,41,0,0,0.06925675675675676
79,678,May 04,41,86,0,0.06047197640117994
80,778,May 05,45,100,4,0.05784061696658098
81,852,May 06,49,74,4,0.057511737089201875
82,930,May 07,52,78,3,0.05591397849462366
