,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,1,Mar 13,0,1,0,0.0
28,1,Mar 14,0,0,0,0.0
29,1,Mar 15,0,0,0,0.0
30,1,Mar 16,0,0,0,0.0
31,1,Mar 17,0,0,0,0.0
32,1,Mar 18,0,0,0,0.0
33,1,Mar 19,0,0,0,0.0
34,4,Mar 20,0,3,0,0.0
35,5,Mar 21,0,1,0,0.0
36,5,Mar 22,0,0,0,0.0
37,5,Mar 23,0,0,0,0.0
38,7,Mar 24,0,2,0,0.0
39,8,Mar 25,0,1,0,0.0
40,8,Mar 26,0,0,0,0.0
41,8,Mar 27,0,0,0,0.0
42,8,Mar 28,0,0,0,0.0
43,8,Mar 29,0,0,0,0.0
44,8,Mar 30,0,0,0,0.0
45,9,Mar 31,0,1,0,0.0
46,10,Apr 01,0,1,0,0.0
47,10,Apr 02,0,0,0,0.0
48,10,Apr 03,1,0,0,0.1
49,10,Apr 04,1,0,0,0.1
50,10,Apr 05,1,0,0,0.1
51,10,Apr 06,1,0,0,0.1
52,10,Apr 07,1,0,0,0.1
53,10,Apr 08,1,0,0,0.1
54,10,Apr 09,1,0,0,0.1
55,10,Apr 10,1,0,0,0.1
56,10,Apr 11,1,0,0,0.1
57,10,Apr 12,1,0,0,0.1
58,10,Apr 13,1,0,0,0.1
59,10,Apr 14,1,0,0,0.1
60,10,Apr 15,1,0,0,0.1
61,10,Apr 16,1,0,0,0.1
62,10,Apr 17,1,0,0,0.1
63,10,Apr 18,1,0,0,0.1
64,10,Apr 19,1,0,0,0.1
65,10,Apr 20,1,0,0,0.1
66,10,Apr 21,1,0,0,0.1
67,10,Apr 22,1,0,0,0.1
68,10,Apr 23,1,0,0,0.1
69,10,Apr 24,1,0,0,0.1
70,10,Apr 25,1,0,0,0.1
71,10,Apr 26,1,0,0,0.1
72,10,Apr 27,1,0,0,0.1
73,10,Apr 28,1,0,0,0.1
74,10,Apr 29,1,0,0,0.1
75,10,Apr 30,1,0,0,0.1
76,10,May 01,1,0,0,0.1
77,10,May 02,1,0,0,0.1
78,10,May 03,1,0,0,0.1
79,10,May 04,1,0,0,0.1
80,10,May 05,1,0,0,0.1
81,10,May 06,1,0,0,0.1
82,10,May 07,1,0,0,0.1
