,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,0,Mar 19,0,0,0,0.0
34,0,Mar 20,0,0,0,0.0
35,0,Mar 21,0,0,0,0.0
36,1,Mar 22,0,1,0,0.0
37,1,Mar 23,0,0,0,0.0
38,1,Mar 24,0,0,0,0.0
39,5,Mar 25,0,4,0,0.0
40,5,Mar 26,0,0,0,0.0
41,5,Mar 27,0,0,0,0.0
42,5,Mar 28,0,0,0,0.0
43,9,Mar 29,1,4,0,0.1111111111111111
44,10,Mar 30,2,1,1,0.2
45,10,Mar 31,2,0,0,0.2
46,10,Apr 01,2,0,0,0.2
47,16,Apr 02,2,6,0,0.125
48,16,Apr 03,2,0,0,0.125
49,16,Apr 04,2,0,0,0.125
50,19,Apr 05,2,3,0,0.10526315789473684
51,19,Apr 06,2,0,0,0.10526315789473684
52,19,Apr 07,2,0,0,0.10526315789473684
53,19,Apr 08,2,0,0,0.10526315789473684
54,19,Apr 09,2,0,0,0.10526315789473684
55,19,Apr 10,2,0,0,0.10526315789473684
56,25,Apr 11,2,6,0,0.08
57,25,Apr 12,2,0,0,0.08
58,25,Apr 13,2,0,0,0.08
59,29,Apr 14,2,4,0,0.06896551724137931
60,33,Apr 15,2,4,0,0.06060606060606061
61,33,Apr 16,2,0,0,0.06060606060606061
62,38,Apr 17,2,5,0,0.05263157894736842
63,38,Apr 18,2,0,0,0.05263157894736842
64,39,Apr 19,3,1,1,0.07692307692307693
65,39,Apr 20,3,0,0,0.07692307692307693
66,42,Apr 21,3,3,0,0.07142857142857142
67,42,Apr 22,3,0,0,0.07142857142857142
68,42,Apr 23,3,0,0,0.07142857142857142
69,42,Apr 24,3,0,0,0.07142857142857142
70,42,Apr 25,3,0,0,0.07142857142857142
71,43,Apr 26,3,1,0,0.06976744186046512
72,43,Apr 27,3,0,0,0.06976744186046512
73,43,Apr 28,3,0,0,0.06976744186046512
74,43,Apr 29,3,0,0,0.06976744186046512
75,43,Apr 30,3,0,0,0.06976744186046512
76,44,May 01,3,1,0,0.06818181818181818
77,44,May 02,3,0,0,0.06818181818181818
78,44,May 03,3,0,0,0.06818181818181818
79,44,May 04,3,0,0,0.06818181818181818
80,44,May 05,3,0,0,0.06818181818181818
81,45,May 06,3,1,0,0.06666666666666667
82,45,May 07,3,0,0,0.06666666666666667
