,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,18,Feb 15,0,0,0,0.0
1,20,Feb 16,1,2,0,0.05
2,22,Feb 17,1,2,0,0.045454545454545456
3,22,Feb 18,1,0,0,0.045454545454545456
4,23,Feb 19,1,1,0,0.043478260869565216
5,24,Feb 20,1,1,0,0.041666666666666664
6,26,Feb 21,1,2,0,0.038461538461538464
7,26,Feb 22,1,0,0,0.038461538461538464
8,28,Feb 23,1,2,0,0.03571428571428571
9,30,Feb 24,1,2,0,0.03333333333333333
10,31,Feb 25,1,1,0,0.03225806451612903
11,32,Feb 26,1,1,0,0.03125
12,32,Feb 27,1,0,0,0.03125
13,34,Feb 28,1,2,0,0.029411764705882353
14,39,Feb 29,1,5,0,0.02564102564102564
15,40,Mar 01,1,1,0,0.025
16,41,Mar 02,1,1,0,0.024390243902439025
17,42,Mar 03,1,1,0,0.023809523809523808
18,42,Mar 04,1,0,0,0.023809523809523808
19,44,Mar 05,1,2,0,0.022727272727272728
20,45,Mar 06,1,1,0,0.022222222222222223
21,45,Mar 07,1,0,0,0.022222222222222223
22,45,Mar 08,1,0,0,0.022222222222222223
23,45,Mar 09,1,0,0,0.022222222222222223
24,47,Mar 10,1,2,0,0.02127659574468085
25,48,Mar 11,1,1,0,0.020833333333333332
26,49,Mar 12,1,1,0,0.02040816326530612
27,50,Mar 13,1,1,0,0.02
28,53,Mar 14,1,3,0,0.018867924528301886
29,59,Mar 15,1,6,0,0.01694915254237288
30,67,Mar 16,1,8,0,0.014925373134328358
31,77,Mar 17,1,10,0,0.012987012987012988
32,100,Mar 18,1,23,0,0.01
33,108,Mar 19,1,8,0,0.009259259259259259
34,135,Mar 20,2,27,1,0.014814814814814815
35,153,Mar 21,2,18,0,0.013071895424836602
36,169,Mar 22,2,16,0,0.011834319526627219
37,195,Mar 23,2,26,0,0.010256410256410256
38,216,Mar 24,2,21,0,0.009259259259259259
39,235,Mar 25,2,19,0,0.00851063829787234
40,252,Mar 26,2,17,0,0.007936507936507936
41,267,Mar 27,2,15,0,0.00749063670411985
42,283,Mar 28,2,16,0,0.007067137809187279
43,298,Mar 29,3,15,1,0.010067114093959731
44,306,Mar 30,5,8,2,0.016339869281045753
45,322,Mar 31,5,16,0,0.015527950310559006
46,329,Apr 01,5,7,0,0.015197568389057751
47,339,Apr 02,5,10,0,0.014749262536873156
48,348,Apr 03,5,9,0,0.014367816091954023
49,355,Apr 04,5,7,0,0.014084507042253521
50,363,Apr 05,5,8,0,0.013774104683195593
51,373,Apr 06,5,10,0,0.013404825737265416
52,376,Apr 07,5,3,0,0.013297872340425532
53,379,Apr 08,5,3,0,0.013192612137203167
54,380,Apr 09,5,1,0,0.013157894736842105
55,382,Apr 10,6,2,1,0.015706806282722512
56,385,Apr 11,6,3,0,0.015584415584415584
57,388,Apr 12,6,3,0,0.015463917525773196
58,393,Apr 13,6,5,0,0.015267175572519083
59,393,Apr 14,6,0,0,0.015267175572519083
60,395,Apr 15,6,2,0,0.015189873417721518
61,395,Apr 16,6,0,0,0.015189873417721518
62,395,Apr 17,6,0,0,0.015189873417721518
63,398,Apr 18,6,3,0,0.01507537688442211
64,420,Apr 19,6,22,0,0.014285714285714285
65,422,Apr 20,6,2,0,0.014218009478672985
66,425,Apr 21,6,3,0,0.01411764705882353
67,426,Apr 22,6,1,0,0.014084507042253521
68,427,Apr 23,6,1,0,0.01405152224824356
69,428,Apr 24,6,1,0,0.014018691588785047
70,429,Apr 25,6,1,0,0.013986013986013986
71,429,Apr 26,6,0,0,0.013986013986013986
72,429,Apr 27,6,0,0,0.013986013986013986
73,429,Apr 28,6,0,0,0.013986013986013986
74,429,Apr 29,6,0,0,0.013986013986013986
75,429,Apr 30,6,0,0,0.013986013986013986
76,429,May 01,6,0,0,0.013986013986013986
77,432,May 02,6,3,0,0.013888888888888888
78,432,May 03,6,0,0,0.013888888888888888
79,438,May 04,6,6,0,0.0136986301369863
80,438,May 05,6,0,0,0.0136986301369863
81,439,May 06,6,1,0,0.01366742596810934
82,440,May 07,6,1,0,0.013636363636363636
