,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,34,Feb 15,0,0,0,0.0
1,34,Feb 16,0,0,0,0.0
2,35,Feb 17,0,1,0,0.0
3,35,Feb 18,0,0,0,0.0
4,35,Feb 19,0,0,0,0.0
5,35,Feb 20,0,0,0,0.0
6,35,Feb 21,0,0,0,0.0
7,35,Feb 22,0,0,0,0.0
8,35,Feb 23,0,0,0,0.0
9,35,Feb 24,0,0,0,0.0
10,37,Feb 25,0,2,0,0.0
11,40,Feb 26,0,3,0,0.0
12,40,Feb 27,0,0,0,0.0
13,41,Feb 28,0,1,0,0.0
14,42,Feb 29,0,1,0,0.0
15,42,Mar 01,1,0,1,0.023809523809523808
16,43,Mar 02,1,1,0,0.023255813953488372
17,43,Mar 03,1,0,0,0.023255813953488372
18,43,Mar 04,1,0,0,0.023255813953488372
19,47,Mar 05,1,4,0,0.02127659574468085
20,48,Mar 06,1,1,0,0.020833333333333332
21,50,Mar 07,1,2,0,0.02
22,50,Mar 08,1,0,0,0.02
23,50,Mar 09,1,0,0,0.02
24,53,Mar 10,1,3,0,0.018867924528301886
25,59,Mar 11,1,6,0,0.01694915254237288
26,70,Mar 12,1,11,0,0.014285714285714285
27,75,Mar 13,1,5,0,0.013333333333333334
28,82,Mar 14,1,7,0,0.012195121951219513
29,114,Mar 15,1,32,0,0.008771929824561403
30,147,Mar 16,1,33,0,0.006802721088435374
31,177,Mar 17,1,30,0,0.005649717514124294
32,212,Mar 18,1,35,0,0.0047169811320754715
33,272,Mar 19,1,60,0,0.003676470588235294
34,322,Mar 20,1,50,0,0.003105590062111801
35,411,Mar 21,1,89,0,0.0024330900243309003
36,599,Mar 22,1,188,0,0.001669449081803005
37,721,Mar 23,1,122,0,0.0013869625520110957
38,827,Mar 24,4,106,3,0.0048367593712212815
39,934,Mar 25,4,107,0,0.004282655246252677
40,1045,Mar 26,4,111,0,0.003827751196172249
41,1136,Mar 27,5,91,1,0.0044014084507042256
42,1245,Mar 28,6,109,1,0.004819277108433735
43,1388,Mar 29,7,143,1,0.005043227665706052
44,1524,Mar 30,9,136,2,0.005905511811023622
45,1651,Mar 31,10,127,1,0.0060569351907934586
46,1771,Apr 01,12,120,2,0.006775832862789385
47,1875,Apr 02,15,104,3,0.008
48,1978,Apr 03,19,103,4,0.009605662285136502
49,2067,Apr 04,20,89,1,0.009675858732462506
50,2169,Apr 05,23,102,3,0.010603964960811434
51,2220,Apr 06,26,51,3,0.011711711711711712
52,2258,Apr 07,27,38,1,0.011957484499557131
53,2369,Apr 08,30,111,3,0.01266357112705783
54,2423,Apr 09,32,54,2,0.013206768468840282
55,2473,Apr 10,33,50,1,0.01334411645774363
56,2518,Apr 11,35,45,2,0.013899920571882446
57,2551,Apr 12,38,33,3,0.014896119168953352
58,2579,Apr 13,40,28,2,0.015509887553315239
59,2613,Apr 14,41,34,1,0.015690776884806735
60,2643,Apr 15,43,30,2,0.016269390843738175
61,2672,Apr 16,46,29,3,0.01721556886227545
62,2700,Apr 17,47,28,1,0.017407407407407406
63,2733,Apr 18,47,33,0,0.017197219173069888
64,2765,Apr 19,47,32,0,0.016998191681735986
65,2792,Apr 20,47,27,0,0.01683381088825215
66,2811,Apr 21,48,19,1,0.017075773745997867
67,2826,Apr 22,49,15,1,0.017338995046001414
68,2839,Apr 23,50,13,1,0.017611835153222965
69,2854,Apr 24,50,15,0,0.01751927119831815
70,2907,Apr 25,51,53,1,0.017543859649122806
71,2922,Apr 26,51,15,0,0.017453798767967144
72,2931,Apr 27,52,9,1,0.017741385192766974
73,2938,Apr 28,54,7,2,0.018379850238257316
74,2947,Apr 29,54,9,0,0.01832371903630811
75,2954,Apr 30,54,7,0,0.01828029790115098
76,2960,May 01,54,6,0,0.018243243243243244
77,2966,May 02,54,6,0,0.01820633850303439
78,2969,May 03,54,3,0,0.018187942068036377
79,2987,May 04,54,18,0,0.018078339471041177
80,2988,May 05,54,1,0,0.018072289156626505
81,2989,May 06,55,1,1,0.01840080294412847
82,2992,May 07,55,3,0,0.01838235294117647
