,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,1,Mar 06,0,1,0,0.0
21,1,Mar 07,0,0,0,0.0
22,1,Mar 08,0,0,0,0.0
23,1,Mar 09,0,0,0,0.0
24,1,Mar 10,0,0,0,0.0
25,1,Mar 11,0,0,0,0.0
26,1,Mar 12,0,0,0,0.0
27,1,Mar 13,0,0,0,0.0
28,1,Mar 14,0,0,0,0.0
29,1,Mar 15,0,0,0,0.0
30,1,Mar 16,0,0,0,0.0
31,1,Mar 17,0,0,0,0.0
32,1,Mar 18,0,0,0,0.0
33,1,Mar 19,0,0,0,0.0
34,9,Mar 20,0,8,0,0.0
35,16,Mar 21,0,7,0,0.0
36,16,Mar 22,0,0,0,0.0
37,18,Mar 23,0,2,0,0.0
38,20,Mar 24,0,2,0,0.0
39,23,Mar 25,0,3,0,0.0
40,24,Mar 26,0,1,0,0.0
41,25,Mar 27,1,1,0,0.04
42,25,Mar 28,1,0,0,0.04
43,25,Mar 29,1,0,0,0.04
44,30,Mar 30,1,5,0,0.03333333333333333
45,34,Mar 31,1,4,0,0.029411764705882353
46,36,Apr 01,2,2,1,0.05555555555555555
47,39,Apr 02,2,3,0,0.05128205128205128
48,40,Apr 03,3,1,1,0.075
49,41,Apr 04,3,1,0,0.07317073170731707
50,44,Apr 05,3,3,0,0.06818181818181818
51,58,Apr 06,3,14,0,0.05172413793103448
52,65,Apr 07,3,7,0,0.046153846153846156
53,70,Apr 08,3,5,0,0.04285714285714286
54,73,Apr 09,3,3,0,0.0410958904109589
55,76,Apr 10,3,3,0,0.039473684210526314
56,76,Apr 11,3,0,0,0.039473684210526314
57,76,Apr 12,3,0,0,0.039473684210526314
58,77,Apr 13,3,1,0,0.03896103896103896
59,77,Apr 14,3,0,0,0.03896103896103896
60,81,Apr 15,3,4,0,0.037037037037037035
61,81,Apr 16,5,0,2,0.06172839506172839
62,83,Apr 17,5,2,0,0.060240963855421686
63,84,Apr 18,5,1,0,0.05952380952380952
64,84,Apr 19,5,0,0,0.05952380952380952
65,84,Apr 20,6,0,1,0.07142857142857142
66,86,Apr 21,6,2,0,0.06976744186046512
67,88,Apr 22,6,2,0,0.06818181818181818
68,88,Apr 23,6,0,0,0.06818181818181818
69,90,Apr 24,6,2,0,0.06666666666666667
70,96,Apr 25,6,6,0,0.0625
71,98,Apr 26,6,2,0,0.061224489795918366
72,98,Apr 27,6,0,0,0.061224489795918366
73,99,Apr 28,6,1,0,0.06060606060606061
74,109,Apr 29,7,10,1,0.06422018348623854
75,116,Apr 30,9,7,2,0.07758620689655173
76,123,May 01,9,7,0,0.07317073170731707
77,123,May 02,9,0,0,0.07317073170731707
78,124,May 03,9,1,0,0.07258064516129033
79,126,May 04,9,2,0,0.07142857142857142
80,128,May 05,9,2,0,0.0703125
81,128,May 06,9,0,0,0.0703125
82,135,May 07,9,7,0,0.06666666666666667
