,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,1,Mar 10,0,1,0,0.0
25,1,Mar 11,0,0,0,0.0
26,1,Mar 12,0,0,0,0.0
27,5,Mar 13,0,4,0,0.0
28,6,Mar 14,0,1,0,0.0
29,18,Mar 15,0,12,0,0.0
30,47,Mar 16,0,29,0,0.0
31,98,Mar 17,1,51,0,0.01020408163265306
32,191,Mar 18,2,93,1,0.010471204188481676
33,359,Mar 19,4,168,2,0.011142061281337047
34,670,Mar 20,9,311,5,0.013432835820895522
35,947,Mar 21,21,277,12,0.022175290390707498
36,1236,Mar 22,30,289,9,0.024271844660194174
37,1529,Mar 23,37,293,7,0.02419882275997384
38,1872,Mar 24,44,343,7,0.023504273504273504
39,2433,Mar 25,59,561,15,0.02424989724619811
40,3629,Mar 26,75,1196,16,0.020666850372003307
41,5698,Mar 27,92,2069,17,0.016146016146016146
42,7402,Mar 28,108,1704,16,0.01459065117535801
43,9217,Mar 29,131,1815,23,0.014212867527395031
44,10827,Mar 30,168,1610,37,0.015516763646439457
45,13531,Mar 31,214,2704,46,0.015815534698100656
46,15679,Apr 01,277,2148,63,0.017666943044837045
47,18135,Apr 02,356,2456,79,0.019630548662806727
48,20921,Apr 03,425,2786,69,0.020314516514506956
49,23934,Apr 04,501,3013,76,0.020932564552519427
50,27069,Apr 05,574,3135,73,0.02120506852857512
51,30217,Apr 06,649,3148,75,0.021477975973789587
52,34109,Apr 07,725,3892,76,0.021255387141223724
53,38226,Apr 08,812,4117,87,0.021242086537958456
54,42282,Apr 09,908,4056,96,0.02147485927817984
55,47029,Apr 10,1006,4747,98,0.02139105658210891
56,52167,Apr 11,1101,5138,95,0.02110529645177986
57,56956,Apr 12,1198,4789,97,0.021033780462111105
58,61049,Apr 13,1296,4093,98,0.02122884895739488
59,65111,Apr 14,1403,4062,107,0.02154781834098693
60,69392,Apr 15,1518,4281,115,0.021875720544154945
61,74193,Apr 16,1643,4801,125,0.02214494628873344
62,78546,Apr 17,1769,4353,126,0.022521834339113384
63,82329,Apr 18,1890,3783,121,0.02295667383303575
64,86306,Apr 19,2017,3977,127,0.023370333464649038
65,90980,Apr 20,2140,4674,123,0.02352165311057375
66,95591,Apr 21,2259,4611,119,0.02363193187643188
67,98674,Apr 22,2376,3083,117,0.02407929140401727
68,101790,Apr 23,2491,3116,115,0.024471952058158955
69,104912,Apr 24,2600,3122,109,0.024782675003812718
70,107773,Apr 25,2706,2861,106,0.02510832954450558
71,110130,Apr 26,2805,2357,99,0.025469899210024516
72,112261,Apr 27,2900,2131,95,0.025832657824177586
73,114653,Apr 28,2992,2392,92,0.026096133550801114
74,117589,Apr 29,3081,2936,89,0.026201430405905314
75,120204,Apr 30,3174,2615,93,0.026405111310771688
76,122392,May 01,3258,2188,84,0.026619386888031896
77,124375,May 02,3336,1983,78,0.02682211055276382
78,126045,May 03,3397,1670,61,0.026950692213098495
79,127659,May 04,3461,1614,64,0.02711128866746567
80,129491,May 05,3520,1832,59,0.027183356372257533
81,131744,May 06,3584,2253,64,0.02720427495749332
82,133721,May 07,3641,1977,57,0.02722833361999985
