,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,8,Feb 15,0,0,0,0.0
1,9,Feb 16,0,1,0,0.0
2,9,Feb 17,0,0,0,0.0
3,9,Feb 18,0,0,0,0.0
4,9,Feb 19,0,0,0,0.0
5,9,Feb 20,0,0,0,0.0
6,11,Feb 21,0,2,0,0.0
7,13,Feb 22,0,2,0,0.0
8,13,Feb 23,0,0,0,0.0
9,13,Feb 24,0,0,0,0.0
10,13,Feb 25,0,0,0,0.0
11,13,Feb 26,0,0,0,0.0
12,19,Feb 27,0,6,0,0.0
13,19,Feb 28,0,0,0,0.0
14,21,Feb 29,0,2,0,0.0
15,21,Mar 01,0,0,0,0.0
16,21,Mar 02,0,0,0,0.0
17,27,Mar 03,0,6,0,0.0
18,28,Mar 04,0,1,0,0.0
19,28,Mar 05,0,0,0,0.0
20,45,Mar 06,0,17,0,0.0
21,45,Mar 07,0,0,0,0.0
22,45,Mar 08,0,0,0,0.0
23,59,Mar 09,0,14,0,0.0
24,74,Mar 10,0,15,0,0.0
25,74,Mar 11,0,0,0,0.0
26,85,Mar 12,0,11,0,0.0
27,85,Mar 13,0,0,0,0.0
28,85,Mar 14,0,0,0,0.0
29,98,Mar 15,0,13,0,0.0
30,98,Mar 16,0,0,0,0.0
31,113,Mar 17,0,15,0,0.0
32,113,Mar 18,0,0,0,0.0
33,140,Mar 19,0,27,0,0.0
34,140,Mar 20,2,0,2,0.014285714285714285
35,153,Mar 21,2,13,0,0.013071895424836602
36,153,Mar 22,2,0,0,0.013071895424836602
37,198,Mar 23,2,45,0,0.010101010101010102
38,248,Mar 24,2,50,0,0.008064516129032258
39,333,Mar 25,2,85,0,0.006006006006006006
40,333,Mar 26,2,0,0,0.006006006006006006
41,405,Mar 27,2,72,0,0.0049382716049382715
42,468,Mar 28,2,63,0,0.004273504273504274
43,570,Mar 29,3,102,1,0.005263157894736842
44,611,Mar 30,5,41,2,0.008183306055646482
45,664,Mar 31,6,53,1,0.009036144578313253
46,814,Apr 01,8,150,2,0.009828009828009828
47,1024,Apr 02,8,210,0,0.0078125
48,1264,Apr 03,9,240,1,0.007120253164556962
49,1505,Apr 04,10,241,1,0.006644518272425249
50,1799,Apr 05,10,294,0,0.005558643690939411
51,2076,Apr 06,11,277,1,0.0052986512524084775
52,2359,Apr 07,12,283,1,0.005086901229334464
53,2659,Apr 08,12,300,0,0.0045129748025573525
54,2990,Apr 09,14,331,2,0.0046822742474916385
55,3360,Apr 10,16,370,2,0.004761904761904762
56,3736,Apr 11,20,376,4,0.0053533190578158455
57,4123,Apr 12,22,387,2,0.0053359204462769825
58,4521,Apr 13,25,398,3,0.005529750055297501
59,4933,Apr 14,28,412,3,0.005676059193188729
60,5365,Apr 15,33,432,5,0.006150978564771668
61,5825,Apr 16,35,460,2,0.006008583690987125
62,6302,Apr 17,37,477,2,0.005871152015233259
63,6302,Apr 18,37,0,0,0.005871152015233259
64,6781,Apr 19,41,479,4,0.006046305854593718
65,7265,Apr 20,43,484,2,0.005918788713007571
66,7755,Apr 21,46,490,3,0.005931656995486783
67,8238,Apr 22,52,483,6,0.006312211701869385
68,8756,Apr 23,56,518,4,0.006395614435815441
69,9281,Apr 24,64,525,8,0.0068958086413102035
70,9813,Apr 25,71,532,7,0.007235300112096199
71,10349,Apr 26,76,536,5,0.007343704705768673
72,10839,Apr 27,82,490,6,0.007565273549220408
73,11380,Apr 28,89,541,7,0.007820738137082601
74,11929,Apr 29,98,549,9,0.008215273702741218
75,12481,Apr 30,105,552,7,0.008412787436904094
76,13038,May 01,111,557,6,0.008513575701794753
77,13599,May 02,119,561,8,0.008750643429663946
78,14163,May 03,126,564,7,0.008896420249947044
79,14730,May 04,137,567,11,0.009300746775288526
80,15192,May 05,146,462,9,0.009610321221695629
81,15738,May 06,157,546,11,0.009975854619392554
82,16240,May 07,165,502,8,0.010160098522167487
