,Dates,Cases,Deaths
0,Feb 15,15,0
1,Feb 16,15,0
2,Feb 17,15,0
3,Feb 18,15,0
4,Feb 19,15,0
5,Feb 20,15,0
6,Feb 21,35,0
7,Feb 22,35,0
8,Feb 23,35,0
9,Feb 24,53,0
10,Feb 25,57,0
11,Feb 26,60,0
12,Feb 27,60,0
13,Feb 28,63,0
14,Feb 29,68,1
15,Mar 01,75,1
16,Mar 02,100,6
17,Mar 03,124,9
18,Mar 04,158,11
19,Mar 05,221,12
20,Mar 06,319,15
21,Mar 07,435,19
22,Mar 08,541,22
23,Mar 09,704,26
24,Mar 10,994,30
25,Mar 11,1301,38
26,Mar 12,1697,41
27,Mar 13,2247,49
28,Mar 14,2943,57
29,Mar 15,3680,68
30,Mar 16,4663,86
31,Mar 17,6411,109
32,Mar 18,9259,150
33,Mar 19,13789,207
34,Mar 20,19383,256
