,Dates,Cases,Deaths,Active Cases,Daily Cases,Daily Deaths,CFR,Cases growth rate,Deaths growth rate
0,Feb 15,0,0,0,0,0,0.0,0.0,0.0
1,Feb 16,0,0,0,0,0,0.0,0.0,0.0
2,Feb 17,0,0,0,0,0,0.0,0.0,0.0
3,Feb 18,0,0,0,0,0,0.0,0.0,0.0
4,Feb 19,0,0,0,0,0,0.0,0.0,0.0
5,Feb 20,0,0,0,0,0,0.0,0.0,0.0
6,Feb 21,0,0,0,0,0,0.0,0.0,0.0
7,Feb 22,0,0,0,0,0,0.0,0.0,0.0
8,Feb 23,0,0,0,0,0,0.0,0.0,0.0
9,Feb 24,0,0,0,0,0,0.0,0.0,0.0
10,Feb 25,0,0,0,0,0,0.0,0.0,0.0
11,Feb 26,0,0,0,0,0,0.0,0.0,0.0
12,Feb 27,0,0,0,0,0,0.0,0.0,0.0
13,Feb 28,0,0,0,0,0,0.0,0.0,0.0
14,Feb 29,0,0,0,0,0,0.0,0.0,0.0
15,Mar 01,0,0,0,0,0,0.0,0.0,0.0
16,Mar 02,0,0,0,0,0,0.0,0.0,0.0
17,Mar 03,0,0,0,0,0,0.0,0.0,0.0
18,Mar 04,0,0,0,0,0,0.0,0.0,0.0
19,Mar 05,0,0,0,0,0,0.0,0.0,0.0
20,Mar 06,0,0,0,0,0,0.0,0.0,0.0
21,Mar 07,0,0,0,0,0,0.0,0.0,0.0
22,Mar 08,0,0,0,0,0,0.0,0.0,0.0
23,Mar 09,0,0,0,0,0,0.0,0.0,0.0
24,Mar 10,0,0,0,0,0,0.0,0.0,0.0
25,Mar 11,0,0,0,0,0,0.0,0.0,0.0
26,Mar 12,0,0,0,0,0,0.0,0.0,0.0
27,Mar 13,0,0,0,0,0,0.0,0.0,0.0
28,Mar 14,0,0,0,0,0,0.0,0.0,0.0
29,Mar 15,0,0,0,0,0,0.0,0.0,0.0
30,Mar 16,0,0,0,0,0,0.0,0.0,0.0
31,Mar 17,0,0,0,0,0,0.0,0.0,0.0
32,Mar 18,0,0,0,0,0,0.0,0.0,0.0
33,Mar 19,0,0,0,0,0,0.0,0.0,0.0
34,Mar 20,0,0,0,0,0,0.0,0.0,0.0
35,Mar 21,1,0,1,1,0,0.0,0.0,0.0
36,Mar 22,1,0,1,0,0,0.0,1.0,0.0
37,Mar 23,9,0,9,8,0,0.0,9.0,0.0
38,Mar 24,9,0,9,0,0,0.0,1.0,0.0
39,Mar 25,14,0,14,5,0,0.0,1.5555555555555556,0.0
40,Mar 26,14,0,14,0,0,0.0,1.0,0.0
41,Mar 27,23,0,23,9,0,0.0,1.6428571428571428,0.0
42,Mar 28,30,0,30,7,0,0.0,1.3043478260869565,0.0
43,Mar 29,33,0,33,3,0,0.0,1.1,0.0
44,Mar 30,33,0,33,0,0,0.0,1.0,0.0
45,Mar 31,44,0,44,11,0,0.0,1.3333333333333333,0.0
46,Apr 01,44,0,44,0,0,0.0,1.0,0.0
47,Apr 02,45,0,45,1,0,0.0,1.0227272727272727,0.0
48,Apr 03,48,0,48,3,0,0.0,1.0666666666666667,0.0
49,Apr 04,48,0,48,0,0,0.0,1.0,0.0
50,Apr 05,52,0,52,4,0,0.0,1.0833333333333333,0.0
51,Apr 06,52,0,52,0,0,0.0,1.0,0.0
52,Apr 07,52,0,52,0,0,0.0,1.0,0.0
53,Apr 08,53,0,53,1,0,0.0,1.0192307692307692,0.0
54,Apr 09,53,0,53,0,0,0.0,1.0,0.0
55,Apr 10,53,0,53,0,0,0.0,1.0,0.0
56,Apr 11,53,0,49,0,0,0.0,1.0,0.0
57,Apr 12,54,0,50,1,0,0.0,1.0188679245283019,0.0
58,Apr 13,54,0,47,0,0,0.0,1.0,0.0
59,Apr 14,55,0,47,1,0,0.0,1.0185185185185186,0.0
60,Apr 15,55,0,43,0,0,0.0,1.0,0.0
61,Apr 16,55,0,35,0,0,0.0,1.0,0.0
62,Apr 17,55,0,35,0,0,0.0,1.0,0.0
63,Apr 18,55,0,33,0,0,0.0,1.0,0.0
64,Apr 19,55,0,27,0,0,0.0,1.0,0.0
65,Apr 20,56,0,18,1,0,0.0,1.018181818181818,0.0
66,Apr 21,61,0,23,5,0,0.0,1.0892857142857142,0.0
67,Apr 22,63,0,18,2,0,0.0,1.0327868852459017,0.0
