,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,1,Mar 03,0,1,0,0.0
18,1,Mar 04,0,0,0,0.0
19,1,Mar 05,0,0,0,0.0
20,1,Mar 06,0,0,0,0.0
21,1,Mar 07,0,0,0,0.0
22,1,Mar 08,0,0,0,0.0
23,1,Mar 09,0,0,0,0.0
24,1,Mar 10,0,0,0,0.0
25,1,Mar 11,0,0,0,0.0
26,3,Mar 12,0,2,0,0.0
27,3,Mar 13,1,0,1,0.3333333333333333
28,3,Mar 14,1,0,0,0.3333333333333333
29,3,Mar 15,1,0,0,0.3333333333333333
30,7,Mar 16,1,4,0,0.14285714285714285
31,14,Mar 17,2,7,1,0.14285714285714285
32,16,Mar 18,2,2,0,0.125
33,26,Mar 19,3,10,1,0.11538461538461539
34,41,Mar 20,3,15,0,0.07317073170731707
35,47,Mar 21,3,6,0,0.06382978723404255
36,73,Mar 22,3,26,0,0.0410958904109589
37,73,Mar 23,3,0,0,0.0410958904109589
38,102,Mar 24,3,29,0,0.029411764705882353
39,145,Mar 25,5,43,2,0.034482758620689655
40,196,Mar 26,5,51,0,0.025510204081632654
41,310,Mar 27,5,114,0,0.016129032258064516
42,356,Mar 28,9,46,4,0.025280898876404494
43,475,Mar 29,10,119,1,0.021052631578947368
44,548,Mar 30,13,73,3,0.023722627737226276
45,645,Mar 31,17,97,4,0.02635658914728682
46,794,Apr 01,20,149,3,0.02518891687657431
47,897,Apr 02,22,103,2,0.024526198439241916
48,1072,Apr 03,27,175,5,0.025186567164179104
49,1225,Apr 04,32,153,5,0.026122448979591838
50,1308,Apr 05,37,83,5,0.028287461773700305
51,1319,Apr 06,38,11,1,0.02880970432145565
52,1462,Apr 07,45,143,7,0.030779753761969904
53,1668,Apr 08,52,206,7,0.03117505995203837
54,1892,Apr 09,57,224,5,0.030126849894291756
55,2203,Apr 10,69,311,12,0.031320926009986386
56,2511,Apr 11,73,308,4,0.029072082835523694
57,2777,Apr 12,83,266,10,0.02988836874324811
58,3102,Apr 13,93,325,10,0.029980657640232108
59,3372,Apr 14,98,270,5,0.029062870699881376
60,3764,Apr 15,108,392,10,0.028692879914984058
61,4161,Apr 16,116,397,8,0.027877913962989664
62,4662,Apr 17,125,501,9,0.026812526812526813
63,5106,Apr 18,133,444,8,0.026047786917352135
64,5449,Apr 19,141,343,8,0.02587630757937236
65,5710,Apr 20,151,261,10,0.026444833625218916
66,6125,Apr 21,161,415,10,0.026285714285714287
67,6592,Apr 22,174,467,13,0.026395631067961164
68,7170,Apr 23,187,578,13,0.02608089260808926
69,7647,Apr 24,193,477,6,0.025238655681966784
70,8125,Apr 25,201,478,8,0.02473846153846154
71,8617,Apr 26,209,492,8,0.024254380875014508
72,9009,Apr 27,220,392,11,0.02442002442002442
73,9410,Apr 28,239,401,19,0.025398512221041444
74,9866,Apr 29,250,456,11,0.02533954996959254
75,10406,Apr 30,261,540,11,0.025081683644051507
76,10861,May 01,272,455,11,0.025043734462756654
77,11411,May 02,279,550,7,0.02445009201647533
78,11913,May 03,288,502,9,0.024175270712666834
79,12331,May 04,303,418,15,0.024572216365258293
80,12697,May 05,316,366,13,0.024887768764275026
81,13184,May 06,327,487,11,0.02480279126213592
82,13691,May 07,340,507,13,0.02483383244467168
