,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,4,Mar 13,0,4,0,0.0
28,6,Mar 14,0,2,0,0.0
29,6,Mar 15,0,0,0,0.0
30,29,Mar 16,0,23,0,0.0
31,50,Mar 17,0,21,0,0.0
32,79,Mar 18,0,29,0,0.0
33,79,Mar 19,0,0,0,0.0
34,110,Mar 20,0,31,0,0.0
35,110,Mar 21,0,0,0,0.0
36,158,Mar 22,0,48,0,0.0
37,162,Mar 23,0,4,0,0.0
38,189,Mar 24,0,27,0,0.0
39,217,Mar 25,0,28,0,0.0
40,238,Mar 26,0,21,0,0.0
41,238,Mar 27,0,0,0,0.0
42,304,Mar 28,1,66,0,0.003289473684210526
43,304,Mar 29,1,0,0,0.003289473684210526
44,320,Mar 30,1,16,0,0.003125
45,338,Mar 31,1,18,0,0.0029585798816568047
46,350,Apr 01,2,12,1,0.005714285714285714
47,350,Apr 02,4,0,2,0.011428571428571429
48,386,Apr 03,4,36,0,0.010362694300518135
49,400,Apr 04,5,14,1,0.0125
50,406,Apr 05,6,6,1,0.014778325123152709
51,415,Apr 06,6,9,0,0.014457831325301205
52,424,Apr 07,7,9,1,0.01650943396226415
53,456,Apr 08,7,32,0,0.015350877192982455
54,456,Apr 09,7,0,0,0.015350877192982455
55,473,Apr 10,7,17,0,0.014799154334038054
56,494,Apr 11,7,21,0,0.01417004048582996
57,512,Apr 12,7,18,0,0.013671875
58,483,Apr 13,8,-29,1,0.016563146997929608
59,492,Apr 14,8,9,0,0.016260162601626018
60,493,Apr 15,9,1,1,0.018255578093306288
61,502,Apr 16,9,9,0,0.017928286852589643
62,502,Apr 17,9,0,0,0.017928286852589643
63,517,Apr 18,9,15,0,0.017408123791102514
64,517,Apr 19,10,0,1,0.019342359767891684
65,535,Apr 20,10,18,0,0.018691588785046728
66,543,Apr 21,12,8,2,0.022099447513812154
67,549,Apr 22,12,6,0,0.02185792349726776
68,549,Apr 23,12,0,0,0.02185792349726776
69,563,Apr 24,12,14,0,0.021314387211367674
70,563,Apr 25,12,0,0,0.021314387211367674
71,596,Apr 26,14,33,2,0.02348993288590604
72,606,Apr 27,15,10,1,0.024752475247524754
73,620,Apr 28,15,14,0,0.024193548387096774
74,625,Apr 29,15,5,0,0.024
75,643,Apr 30,17,18,2,0.026438569206842923
76,648,May 01,17,5,0,0.026234567901234566
77,652,May 02,17,4,0,0.02607361963190184
78,655,May 03,17,3,0,0.025954198473282442
79,657,May 04,17,2,0,0.0258751902587519
80,670,May 05,17,13,0,0.025373134328358207
81,673,May 06,17,3,0,0.02526002971768202
82,684,May 07,17,11,0,0.024853801169590642
