,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,4,Mar 15,0,4,0,0.0
30,8,Mar 16,0,4,0,0.0
31,11,Mar 17,0,3,0,0.0
32,18,Mar 18,0,7,0,0.0
33,23,Mar 19,0,5,0,0.0
34,33,Mar 20,0,10,0,0.0
35,41,Mar 21,0,8,0,0.0
36,43,Mar 22,0,2,0,0.0
37,46,Mar 23,0,3,0,0.0
38,50,Mar 24,0,4,0,0.0
39,60,Mar 25,0,10,0,0.0
40,75,Mar 26,0,15,0,0.0
41,88,Mar 27,1,13,0,0.011363636363636364
42,104,Mar 28,2,16,1,0.019230769230769232
43,144,Mar 29,2,40,0,0.013888888888888888
44,149,Mar 30,2,5,0,0.013422818791946308
45,172,Mar 31,2,23,0,0.011627906976744186
46,181,Apr 01,2,9,0,0.011049723756906077
47,205,Apr 02,2,24,0,0.00975609756097561
48,227,Apr 03,2,22,0,0.00881057268722467
49,266,Apr 04,2,39,0,0.007518796992481203
50,342,Apr 05,2,76,0,0.005847953216374269
51,457,Apr 06,2,115,0,0.00437636761487965
52,520,Apr 07,2,63,0,0.0038461538461538464
53,545,Apr 08,3,25,1,0.005504587155963303
54,582,Apr 09,3,37,0,0.005154639175257732
55,624,Apr 10,3,42,0,0.004807692307692308
56,767,Apr 11,4,143,1,0.005215123859191656
57,865,Apr 12,4,98,0,0.004624277456647399
58,998,Apr 13,4,133,0,0.004008016032064128
59,1165,Apr 14,4,167,0,0.0034334763948497852
60,1302,Apr 15,4,137,0,0.0030721966205837174
61,1349,Apr 16,4,47,0,0.0029651593773165306
62,1405,Apr 17,4,56,0,0.0028469750889679717
63,1490,Apr 18,5,85,1,0.003355704697986577
64,1565,Apr 19,5,75,0,0.003194888178913738
65,1627,Apr 20,5,62,0,0.003073140749846343
66,1678,Apr 21,6,51,1,0.003575685339690107
67,1716,Apr 22,7,38,1,0.004079254079254079
68,1758,Apr 23,7,42,0,0.003981797497155859
69,1804,Apr 24,8,46,1,0.004434589800443459
70,1862,Apr 25,8,58,0,0.004296455424274973
71,1869,Apr 26,8,7,0,0.004280363830925628
72,1904,Apr 27,8,35,0,0.004201680672268907
73,1939,Apr 28,8,35,0,0.0041258380608561115
74,2002,Apr 29,9,63,1,0.004495504495504496
75,2039,Apr 30,9,37,0,0.004413928396272682
76,2086,May 01,9,47,0,0.004314477468839885
77,2118,May 02,9,32,0,0.00424929178470255
78,2149,May 03,10,31,1,0.004653327128897162
79,2189,May 04,10,40,0,0.0045682960255824575
80,2207,May 05,10,18,0,0.004531037607612143
81,2233,May 06,10,26,0,0.0044782803403493054
82,2298,May 07,10,65,0,0.004351610095735422
