,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,16,Feb 15,0,0,0,0.0
1,16,Feb 16,0,0,0,0.0
2,16,Feb 17,0,0,0,0.0
3,16,Feb 18,0,0,0,0.0
4,16,Feb 19,0,0,0,0.0
5,16,Feb 20,0,0,0,0.0
6,16,Feb 21,0,0,0,0.0
7,16,Feb 22,0,0,0,0.0
8,16,Feb 23,0,0,0,0.0
9,16,Feb 24,0,0,0,0.0
10,16,Feb 25,0,0,0,0.0
11,16,Feb 26,0,0,0,0.0
12,16,Feb 27,0,0,0,0.0
13,16,Feb 28,0,0,0,0.0
14,16,Feb 29,0,0,0,0.0
15,16,Mar 01,0,0,0,0.0
16,16,Mar 02,0,0,0,0.0
17,16,Mar 03,0,0,0,0.0
18,16,Mar 04,0,0,0,0.0
19,16,Mar 05,0,0,0,0.0
20,17,Mar 06,0,1,0,0.0
21,20,Mar 07,0,3,0,0.0
22,30,Mar 08,0,10,0,0.0
23,31,Mar 09,0,1,0,0.0
24,34,Mar 10,0,3,0,0.0
25,39,Mar 11,0,5,0,0.0
26,44,Mar 12,0,5,0,0.0
27,44,Mar 13,0,0,0,0.0
28,53,Mar 14,0,9,0,0.0
29,57,Mar 15,0,4,0,0.0
30,61,Mar 16,0,4,0,0.0
31,66,Mar 17,0,5,0,0.0
32,76,Mar 18,0,10,0,0.0
33,85,Mar 19,0,9,0,0.0
34,91,Mar 20,0,6,0,0.0
35,94,Mar 21,0,3,0,0.0
36,113,Mar 22,0,19,0,0.0
37,123,Mar 23,0,10,0,0.0
38,134,Mar 24,0,11,0,0.0
39,148,Mar 25,0,14,0,0.0
40,153,Mar 26,0,5,0,0.0
41,163,Mar 27,0,10,0,0.0
42,174,Mar 28,0,11,0,0.0
43,194,Mar 29,0,20,0,0.0
44,204,Mar 30,0,10,0,0.0
45,212,Mar 31,0,8,0,0.0
46,218,Apr 01,0,6,0,0.0
47,233,Apr 02,0,15,0,0.0
48,239,Apr 03,0,6,0,0.0
49,240,Apr 04,0,1,0,0.0
50,241,Apr 05,0,1,0,0.0
51,245,Apr 06,0,4,0,0.0
52,251,Apr 07,0,6,0,0.0
53,251,Apr 08,0,0,0,0.0
54,255,Apr 09,0,4,0,0.0
55,257,Apr 10,0,2,0,0.0
56,258,Apr 11,0,1,0,0.0
57,262,Apr 12,0,4,0,0.0
58,265,Apr 13,0,3,0,0.0
59,266,Apr 14,0,1,0,0.0
60,268,Apr 15,0,2,0,0.0
61,268,Apr 16,0,0,0,0.0
62,268,Apr 17,0,0,0,0.0
63,268,Apr 18,0,0,0,0.0
64,268,Apr 19,0,0,0,0.0
65,268,Apr 20,0,0,0,0.0
66,268,Apr 21,0,0,0,0.0
67,268,Apr 22,0,0,0,0.0
68,268,Apr 23,0,0,0,0.0
69,270,Apr 24,0,2,0,0.0
70,270,Apr 25,0,0,0,0.0
71,270,Apr 26,0,0,0,0.0
72,270,Apr 27,0,0,0,0.0
73,270,Apr 28,0,0,0,0.0
74,270,Apr 29,0,0,0,0.0
75,270,Apr 30,0,0,0,0.0
76,270,May 01,0,0,0,0.0
77,270,May 02,0,0,0,0.0
78,271,May 03,0,1,0,0.0
79,271,May 04,0,0,0,0.0
80,271,May 05,0,0,0,0.0
81,271,May 06,0,0,0,0.0
82,288,May 07,0,17,0,0.0
