,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,2,Mar 18,0,2,0,0.0
33,2,Mar 19,0,0,0,0.0
34,2,Mar 20,0,0,0,0.0
35,2,Mar 21,0,0,0,0.0
36,3,Mar 22,0,1,0,0.0
37,3,Mar 23,0,0,0,0.0
38,3,Mar 24,0,0,0,0.0
39,12,Mar 25,0,9,0,0.0
40,16,Mar 26,0,4,0,0.0
41,22,Mar 27,0,6,0,0.0
42,28,Mar 28,0,6,0,0.0
43,29,Mar 29,0,1,0,0.0
44,35,Mar 30,0,6,0,0.0
45,36,Mar 31,0,1,0,0.0
46,36,Apr 01,0,0,0,0.0
47,39,Apr 02,1,3,0,0.02564102564102564
48,39,Apr 03,1,0,0,0.02564102564102564
49,39,Apr 04,1,0,0,0.02564102564102564
50,39,Apr 05,1,0,0,0.02564102564102564
51,39,Apr 06,1,0,0,0.02564102564102564
52,39,Apr 07,1,0,0,0.02564102564102564
53,39,Apr 08,1,0,0,0.02564102564102564
54,39,Apr 09,1,0,0,0.02564102564102564
55,40,Apr 10,2,1,1,0.05
56,40,Apr 11,2,0,0,0.05
57,43,Apr 12,2,3,0,0.046511627906976744
58,45,Apr 13,2,2,0,0.044444444444444446
59,45,Apr 14,2,0,0,0.044444444444444446
60,48,Apr 15,2,3,0,0.041666666666666664
61,48,Apr 16,2,0,0,0.041666666666666664
62,52,Apr 17,2,4,0,0.038461538461538464
63,57,Apr 18,2,5,0,0.03508771929824561
64,61,Apr 19,3,4,1,0.04918032786885246
65,65,Apr 20,3,4,0,0.046153846153846156
66,70,Apr 21,3,5,0,0.04285714285714286
67,74,Apr 22,3,4,0,0.04054054054054054
68,76,Apr 23,3,2,0,0.039473684210526314
69,84,Apr 24,3,8,0,0.03571428571428571
70,84,Apr 25,3,0,0,0.03571428571428571
71,88,Apr 26,3,4,0,0.03409090909090909
72,89,Apr 27,3,1,0,0.033707865168539325
73,95,Apr 28,3,6,0,0.031578947368421054
74,97,Apr 29,3,2,0,0.030927835051546393
75,106,Apr 30,3,9,0,0.02830188679245283
76,109,May 01,3,3,0,0.027522935779816515
77,119,May 02,3,10,0,0.025210084033613446
78,124,May 03,3,5,0,0.024193548387096774
79,137,May 04,3,13,0,0.021897810218978103
80,138,May 05,3,1,0,0.021739130434782608
81,146,May 06,4,8,1,0.0273972602739726
82,153,May 07,4,7,0,0.026143790849673203
