,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,0,Mar 19,0,0,0,0.0
34,1,Mar 20,0,1,0,0.0
35,3,Mar 21,0,2,0,0.0
36,3,Mar 22,0,0,0,0.0
37,3,Mar 23,1,0,0,0.3333333333333333
38,3,Mar 24,1,0,0,0.3333333333333333
39,3,Mar 25,1,0,0,0.3333333333333333
40,3,Mar 26,1,0,0,0.3333333333333333
41,5,Mar 27,1,2,0,0.2
42,7,Mar 28,1,2,0,0.14285714285714285
43,7,Mar 29,1,0,0,0.14285714285714285
44,7,Mar 30,1,0,0,0.14285714285714285
45,8,Mar 31,1,1,0,0.125
46,8,Apr 01,1,0,0,0.125
47,9,Apr 02,1,1,0,0.1111111111111111
48,9,Apr 03,1,0,0,0.1111111111111111
49,9,Apr 04,1,0,0,0.1111111111111111
50,9,Apr 05,1,0,0,0.1111111111111111
51,10,Apr 06,1,1,0,0.1
52,11,Apr 07,2,1,1,0.18181818181818182
53,11,Apr 08,3,0,1,0.2727272727272727
54,11,Apr 09,3,0,0,0.2727272727272727
55,13,Apr 10,3,2,0,0.23076923076923078
56,14,Apr 11,3,1,0,0.21428571428571427
57,14,Apr 12,3,0,0,0.21428571428571427
58,17,Apr 13,3,3,0,0.17647058823529413
59,17,Apr 14,3,0,0,0.17647058823529413
60,23,Apr 15,3,6,0,0.13043478260869565
61,23,Apr 16,3,0,0,0.13043478260869565
62,24,Apr 17,3,1,0,0.125
63,25,Apr 18,3,1,0,0.12
64,25,Apr 19,3,0,0,0.12
65,25,Apr 20,3,0,0,0.12
66,28,Apr 21,3,3,0,0.10714285714285714
67,28,Apr 22,4,0,1,0.14285714285714285
68,28,Apr 23,4,0,0,0.14285714285714285
69,29,Apr 24,4,1,0,0.13793103448275862
70,31,Apr 25,4,2,0,0.12903225806451613
71,31,Apr 26,4,0,0,0.12903225806451613
72,31,Apr 27,4,0,0,0.12903225806451613
73,32,Apr 28,4,1,0,0.125
74,32,Apr 29,4,0,0,0.125
75,34,Apr 30,4,2,0,0.11764705882352941
76,34,May 01,4,0,0,0.11764705882352941
77,34,May 02,4,0,0,0.11764705882352941
78,34,May 03,4,0,0,0.11764705882352941
79,34,May 04,4,0,0,0.11764705882352941
80,34,May 05,4,0,0,0.11764705882352941
81,34,May 06,4,0,0,0.11764705882352941
82,34,May 07,4,0,0,0.11764705882352941
