,Dates,Cases,Deaths
0,Feb 15,12,1
1,Feb 16,12,1
2,Feb 17,12,1
3,Feb 18,12,1
4,Feb 19,12,1
5,Feb 20,12,1
6,Feb 21,12,1
7,Feb 22,12,1
8,Feb 23,12,1
9,Feb 24,12,1
10,Feb 25,14,1
11,Feb 26,18,2
12,Feb 27,38,2
13,Feb 28,57,2
14,Feb 29,100,2
15,Mar 01,130,2
16,Mar 02,191,3
17,Mar 03,212,4
18,Mar 04,285,4
19,Mar 05,423,7
20,Mar 06,653,9
21,Mar 07,949,16
22,Mar 08,1209,19
23,Mar 09,1412,30
24,Mar 10,1784,33
25,Mar 11,2281,48
26,Mar 12,2876,61
27,Mar 13,3661,79
28,Mar 14,4499,91
29,Mar 15,5423,127
30,Mar 16,6633,148
31,Mar 17,7730,175
32,Mar 18,9134,264
33,Mar 19,10995,372
34,Mar 20,12612,450
