,Dates,Cases,Deaths
0,Feb 15,0,0
1,Feb 16,0,0
2,Feb 17,0,0
3,Feb 18,0,0
4,Feb 19,2,2
5,Feb 20,5,2
6,Feb 21,18,4
7,Feb 22,29,6
8,Feb 23,43,8
9,Feb 24,61,12
10,Feb 25,95,16
11,Feb 26,139,19
12,Feb 27,245,26
13,Feb 28,388,34
14,Feb 29,593,43
15,Mar 01,978,54
16,Mar 02,1501,66
17,Mar 03,2336,77
18,Mar 04,2922,92
19,Mar 05,3513,108
20,Mar 06,4747,124
21,Mar 07,5823,145
22,Mar 08,6566,194
23,Mar 09,7161,237
24,Mar 10,8042,291
25,Mar 11,9000,354
26,Mar 12,10075,429
27,Mar 13,11364,514
28,Mar 14,12729,611
29,Mar 15,13938,724
30,Mar 16,14991,853
31,Mar 17,16169,988
32,Mar 18,17361,1135
33,Mar 19,18407,1284
34,Mar 20,19644,1433
