,Dates,Cases,Deaths
0,Feb 15,3,0
1,Feb 16,3,0
2,Feb 17,3,0
3,Feb 18,3,0
4,Feb 19,3,0
5,Feb 20,4,0
6,Feb 21,21,1
7,Feb 22,79,2
8,Feb 23,157,3
9,Feb 24,229,7
10,Feb 25,323,11
11,Feb 26,470,12
12,Feb 27,655,17
13,Feb 28,889,21
14,Feb 29,1128,29
15,Mar 01,1701,41
16,Mar 02,2036,52
17,Mar 03,2502,79
18,Mar 04,3089,107
19,Mar 05,3858,148
20,Mar 06,4636,197
21,Mar 07,5883,233
22,Mar 08,7375,366
23,Mar 09,9172,463
24,Mar 10,10149,631
25,Mar 11,12462,827
26,Mar 12,15113,1016
27,Mar 13,17660,1266
28,Mar 14,21157,1441
29,Mar 15,24747,1809
30,Mar 16,27980,2158
31,Mar 17,31506,2503
32,Mar 18,35713,2978
33,Mar 19,41035,3405
34,Mar 20,47021,4032
35,Mar 21,53578,4825
36,Mar 22,59138,5476
37,Mar 23,63927,6077
