,Dates,Cases,Deaths
0,Feb 15,28,0
1,Feb 16,29,0
2,Feb 17,30,0
3,Feb 18,31,0
4,Feb 19,58,0
5,Feb 20,111,1
6,Feb 21,209,2
7,Feb 22,436,2
8,Feb 23,602,6
9,Feb 24,833,8
10,Feb 25,977,11
11,Feb 26,1261,12
12,Feb 27,1766,13
13,Feb 28,2337,16
14,Feb 29,3150,17
15,Mar 01,3736,21
16,Mar 02,4335,28
17,Mar 03,5186,32
18,Mar 04,5621,35
19,Mar 05,6284,42
20,Mar 06,6593,43
21,Mar 07,7041,48
22,Mar 08,7313,50
23,Mar 09,7478,53
24,Mar 10,7513,60
25,Mar 11,7755,60
26,Mar 12,7869,66
27,Mar 13,7979,67
28,Mar 14,8086,72
29,Mar 15,8162,75
30,Mar 16,8236,75
31,Mar 17,8320,81
32,Mar 18,8413,84
33,Mar 19,8565,91
34,Mar 20,8652,94
35,Mar 21,8799,102
