,Dates,Cases,Deaths
0,Feb 15,2,0
1,Feb 16,2,0
2,Feb 17,2,0
3,Feb 18,2,0
4,Feb 19,2,0
5,Feb 20,2,0
6,Feb 21,2,0
7,Feb 22,2,0
8,Feb 23,2,0
9,Feb 24,3,0
10,Feb 25,9,0
11,Feb 26,13,0
12,Feb 27,25,0
13,Feb 28,33,0
14,Feb 29,58,0
15,Mar 01,84,0
16,Mar 02,120,0
17,Mar 03,165,1
18,Mar 04,228,2
19,Mar 05,282,3
20,Mar 06,401,8
21,Mar 07,525,10
22,Mar 08,674,17
23,Mar 09,1231,30
24,Mar 10,1695,36
25,Mar 11,2277,55
26,Mar 12,3146,86
27,Mar 13,5232,133
28,Mar 14,6391,196
29,Mar 15,7988,294
30,Mar 16,9942,342
31,Mar 17,11826,533
32,Mar 18,14769,638
33,Mar 19,18077,831
34,Mar 20,21571,1093
