,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,1225634,"+24,181",66520.0,"+1,832",253864.0,905250,44707.0,157.0,8.5,0.0,0.0
1,USA,312154,+797,8468.0,+16,14828.0,288858,8206.0,943.0,26.0,1662081.0,5021.0
2,Spain,130759,"+4,591",12418.0,+471,38080.0,80261,6861.0,2797.0,266.0,355000.0,7593.0
3,Italy,124632,0,15362.0,0,20996.0,88274,3994.0,2061.0,254.0,657224.0,10870.0
4,Germany,97074,+982,1478.0,+34,26400.0,69196,3936.0,1159.0,18.0,918460.0,10962.0
5,France,89953,0,7560.0,0,15438.0,66955,6838.0,1378.0,116.0,224254.0,3436.0
6,Iran,58226,"+2,483",3603.0,+151,19736.0,34887,4103.0,693.0,43.0,186000.0,2214.0
7,UK,47806,"+5,903",4932.0,+619,135.0,42739,1559.0,704.0,73.0,195524.0,2880.0
8,Turkey,23934,0,501.0,0,786.0,22647,1311.0,284.0,6.0,161380.0,1913.0
9,Switzerland,21100,+595,685.0,+19,6415.0,14000,391.0,2438.0,79.0,158000.0,18256.0
10,Belgium,19691,"+1,260",1447.0,+164,3751.0,14493,1261.0,1699.0,125.0,70000.0,6040.0
11,Netherlands,17851,"+1,224",1766.0,+115,250.0,15835,1360.0,1042.0,103.0,75415.0,4401.0
12,Canada,14018,+106,233.0,+2,2603.0,11182,426.0,371.0,6.0,317972.0,8425.0
13,Austria,11920,+139,204.0,+18,2998.0,8718,244.0,1324.0,23.0,108416.0,12038.0
14,Portugal,11278,+754,295.0,+29,75.0,10908,267.0,1106.0,29.0,86370.0,8470.0
15,Brazil,10431,+71,446.0,+1,127.0,9858,296.0,49.0,2.0,54824.0,258.0
16,S. Korea,10237,+81,183.0,+6,6463.0,3591,55.0,200.0,4.0,461233.0,8996.0
17,Israel,8018,+167,47.0,+3,477.0,7494,127.0,926.0,5.0,90394.0,10443.0
18,Sweden,6830,+387,401.0,+28,205.0,6224,541.0,676.0,40.0,36900.0,3654.0
19,Australia,5687,+137,34.0,+4,2315.0,3338,91.0,223.0,1.0,297154.0,11653.0
20,Norway,5645,+95,66.0,+4,32.0,5547,98.0,1041.0,12.0,105865.0,19528.0
21,Russia,5389,+658,45.0,+2,355.0,4989,8.0,37.0,0.3,697000.0,4776.0
22,Ireland,4604,0,137.0,0,25.0,4442,148.0,932.0,28.0,30213.0,6119.0
23,Czechia,4475,+3,62.0,+3,78.0,4335,86.0,418.0,6.0,80304.0,7499.0
24,Denmark,4369,+292,179.0,+18,1327.0,2863,142.0,754.0,31.0,49249.0,8503.0
25,Chile,4161,0,27.0,0,528.0,3606,38.0,218.0,1.0,48613.0,2543.0
26,Romania,3864,+251,148.0,+2,374.0,3342,141.0,201.0,8.0,38623.0,2008.0
27,Poland,3834,+207,84.0,+5,134.0,3616,50.0,101.0,2.0,80757.0,2134.0
28,Malaysia,3662,+179,61.0,+4,1005.0,2596,99.0,113.0,2.0,51937.0,1605.0
29,India,3588,0,99.0,0,229.0,3260,0.0,3.0,0.07,128320.0,93.0
30,Ecuador,3465,0,172.0,0,100.0,3193,100.0,196.0,10.0,11309.0,641.0
31,Philippines,3246,+152,152.0,+8,64.0,3030,1.0,30.0,1.0,19585.0,179.0
32,Japan,3139,0,77.0,0,514.0,2548,64.0,25.0,0.6,44639.0,353.0
33,Pakistan,2899,+81,45.0,+4,208.0,2646,18.0,13.0,0.2,34885.0,158.0
34,Luxembourg,2729,0,31.0,0,500.0,2198,35.0,4360.0,50.0,22793.0,36412.0
35,Saudi Arabia,2385,+206,34.0,+5,488.0,1863,41.0,69.0,1.0,0.0,0.0
36,Indonesia,2273,+181,198.0,+7,164.0,1911,0.0,8.0,0.7,9712.0,36.0
37,Thailand,2169,+102,23.0,+3,674.0,1472,23.0,31.0,0.3,24474.0,351.0
38,Finland,1927,+45,28.0,+3,300.0,1599,73.0,348.0,5.0,31714.0,5724.0
39,Serbia,1908,+284,51.0,+7,54.0,1803,98.0,218.0,6.0,7360.0,842.0
40,Mexico,1890,+202,79.0,+19,633.0,1178,1.0,15.0,0.6,15668.0,122.0
41,Panama,1801,0,46.0,0,13.0,1742,75.0,417.0,11.0,9256.0,2145.0
42,Peru,1746,0,73.0,0,914.0,759,88.0,53.0,2.0,17841.0,541.0
43,Greece,1673,0,70.0,+2,78.0,1525,92.0,161.0,7.0,22437.0,2153.0
44,South Africa,1585,0,9.0,0,95.0,1481,7.0,27.0,0.2,53937.0,909.0
45,Dominican Republic,1578,0,77.0,0,17.0,1484,147.0,145.0,7.0,4542.0,419.0
46,UAE,1505,0,10.0,0,125.0,1370,1.0,152.0,1.0,220000.0,22244.0
47,Iceland,1486,+69,4.0,0,428.0,1054,11.0,4355.0,12.0,25394.0,74416.0
48,Argentina,1451,0,44.0,+1,279.0,1128,86.0,32.0,1.0,8488.0,188.0
49,Colombia,1406,0,32.0,0,85.0,1289,50.0,28.0,0.6,23706.0,466.0
50,Qatar,1325,0,3.0,0,109.0,1213,37.0,460.0,1.0,31951.0,11090.0
51,Singapore,1309,+120,6.0,0,297.0,1006,24.0,224.0,1.0,39000.0,6666.0
52,Algeria,1251,0,130.0,0,90.0,1031,0.0,29.0,3.0,3359.0,77.0
53,Ukraine,1251,+26,32.0,0,25.0,1194,16.0,29.0,0.7,5493.0,126.0
54,Croatia,1182,+56,15.0,+3,125.0,1042,39.0,288.0,4.0,10847.0,2642.0
55,Estonia,1097,+58,15.0,+2,62.0,1020,17.0,827.0,11.0,21004.0,15834.0
56,Egypt,1070,0,71.0,0,241.0,758,0.0,10.0,0.7,25000.0,244.0
57,New Zealand,1039,+89,1.0,0,156.0,882,3.0,215.0,0.2,36209.0,7509.0
58,Slovenia,997,+20,28.0,+6,79.0,890,31.0,480.0,13.0,27764.0,13355.0
59,Morocco,961,+42,69.0,+10,70.0,822,1.0,26.0,2.0,3532.0,96.0
60,Hong Kong,890,+28,4.0,0,206.0,680,8.0,119.0,0.5,90000.0,12005.0
61,Iraq,878,0,56.0,0,259.0,563,0.0,22.0,1.0,0.0,0.0
62,Armenia,822,+52,7.0,0,57.0,758,30.0,277.0,2.0,4666.0,1575.0
